,City,Code.1,Code.2,a. Index of Multiple Deprivation (IMD),b. Income Deprivation Domain,c. Employment Deprivation Domain,"d. Education, Skills and Training Domain",e. Health Deprivation and Disability Domain,f. Crime Domain,g. Barriers to Housing and Services Domain,h. Living Environment Deprivation Domain,i. Income Deprivation Affecting Children Index (IDACI),j. Income Deprivation Affecting Older People Index (IDAOPI),LSOA
72,Leeds,017B,E01011384,5,5,4,8,4,5,5,6,4,7,Leeds 017B
73,Leeds,017E,E01032501,8,8,8,8,6,6,5,8,7,9,Leeds 017E
74,Leeds,017F,E01032502,2,2,3,3,2,3,2,4,3,2,Leeds 017F
75,Leeds,018A,E01011555,9,9,8,10,8,7,6,7,8,10,Leeds 018A
76,Leeds,018B,E01011558,2,2,2,4,2,4,5,3,3,2,Leeds 018B
77,Leeds,018C,E01011559,1,1,1,3,1,3,4,3,2,1,Leeds 018C
78,Leeds,018D,E01011560,1,1,1,3,1,4,5,4,2,1,Leeds 018D
79,Leeds,019A,E01011383,7,6,6,9,6,5,9,6,6,6,Leeds 019A
80,Leeds,019B,E01011388,5,5,4,5,5,5,5,9,6,5,Leeds 019B
81,Leeds,019C,E01011684,8,6,7,7,7,8,9,5,6,7,Leeds 019C
82,Leeds,019D,E01011695,1,2,1,2,1,3,6,4,2,2,Leeds 019D
83,Leeds,020A,E01011650,7,7,8,10,7,1,6,6,7,8,Leeds 020A
84,Leeds,020B,E01011651,6,5,6,9,5,5,6,6,5,5,Leeds 020B
85,Leeds,020C,E01011653,8,7,8,10,5,6,10,3,7,6,Leeds 020C
86,Leeds,020D,E01011655,8,8,8,10,6,3,6,5,10,7,Leeds 020D
87,Leeds,021A,E01011455,10,10,10,10,10,10,3,8,10,10,Leeds 021A
88,Leeds,021B,E01011456,9,10,10,10,8,7,4,8,9,10,Leeds 021B
89,Leeds,021C,E01011459,8,8,7,10,5,6,8,3,9,8,Leeds 021C
90,Leeds,021D,E01011461,10,10,10,10,10,7,7,7,10,10,Leeds 021D
91,Leeds,022A,E01011311,9,10,10,9,8,10,1,9,10,10,Leeds 022A
92,Leeds,022B,E01011649,10,10,10,10,9,10,8,9,10,10,Leeds 022B
93,Leeds,022C,E01011715,8,9,9,8,8,10,2,8,8,10,Leeds 022C
94,Leeds,022D,E01011719,7,8,7,8,5,9,3,8,8,7,Leeds 022D
95,Leeds,023A,E01011509,7,6,7,10,4,7,8,6,9,4,Leeds 023A
96,Leeds,023B,E01011511,7,5,7,10,5,6,9,4,8,3,Leeds 023B
97,Leeds,023C,E01011512,7,7,6,10,5,7,10,3,6,7,Leeds 023C
98,Leeds,023D,E01011515,9,8,9,10,8,8,8,5,9,6,Leeds 023D
99,Leeds,023E,E01011516,10,8,8,10,8,9,10,6,10,5,Leeds 023E
100,Leeds,024A,E01011508,9,9,9,10,6,6,9,6,9,7,Leeds 024A
101,Leeds,024B,E01011517,6,5,5,8,5,3,9,4,5,5,Leeds 024B
102,Leeds,024C,E01011652,7,7,6,10,5,4,10,5,9,5,Leeds 024C
103,Leeds,024D,E01011654,9,10,9,10,8,3,10,7,9,10,Leeds 024D
104,Leeds,025A,E01011505,6,6,4,8,4,6,9,5,8,5,Leeds 025A
105,Leeds,025B,E01011506,7,6,5,9,6,7,9,7,8,6,Leeds 025B
106,Leeds,025C,E01011507,9,8,8,9,6,7,10,6,9,7,Leeds 025C
107,Leeds,025D,E01011510,1,2,1,3,1,5,4,4,3,1,Leeds 025D
108,Leeds,025E,E01011514,8,8,7,9,7,7,6,4,10,6,Leeds 025E
109,Leeds,027A,E01011452,10,10,9,10,9,5,10,4,10,10,Leeds 027A
110,Leeds,027B,E01011454,10,10,10,10,9,8,10,4,10,9,Leeds 027B
111,Leeds,027C,E01011457,9,9,9,9,6,7,4,5,10,7,Leeds 027C
112,Leeds,027D,E01011458,10,10,10,10,8,7,8,7,10,10,Leeds 027D
113,Leeds,027E,E01011465,5,5,5,8,4,6,10,1,6,4,Leeds 027E
114,Leeds,028A,E01011453,10,10,10,10,8,5,8,6,10,9,Leeds 028A
115,Leeds,028B,E01011460,6,5,6,7,5,4,8,4,4,5,Leeds 028B
116,Leeds,028C,E01011462,4,3,4,6,3,3,8,3,3,3,Leeds 028C
117,Leeds,028D,E01011463,3,3,4,4,2,2,8,3,4,3,Leeds 028D
118,Leeds,028E,E01011464,9,9,9,9,8,6,7,5,8,10,Leeds 028E
119,Leeds,029A,E01011714,8,7,7,6,6,8,8,9,6,7,Leeds 029A
120,Leeds,029B,E01011716,8,7,6,8,7,9,9,8,7,9,Leeds 029B
121,Leeds,029C,E01011717,4,4,4,4,3,6,6,6,5,4,Leeds 029C
122,Leeds,029D,E01011718,3,3,2,2,2,4,5,8,3,3,Leeds 029D
123,Leeds,029E,E01011720,2,2,2,2,1,2,5,3,3,3,Leeds 029E
124,Leeds,030A,E01011296,9,9,7,9,8,9,8,7,8,10,Leeds 030A
125,Leeds,030B,E01011297,8,8,8,9,7,5,3,5,8,7,Leeds 030B
126,Leeds,030C,E01011309,7,8,7,6,6,4,2,6,8,9,Leeds 030C
127,Leeds,030D,E01011310,9,8,9,9,8,9,5,5,8,8,Leeds 030D
128,Leeds,031A,E01011513,9,9,9,10,8,8,5,5,9,6,Leeds 031A
129,Leeds,031B,E01011688,6,4,5,9,5,4,9,8,4,5,Leeds 031B
130,Leeds,031C,E01011689,7,6,6,9,4,6,9,4,9,4,Leeds 031C
131,Leeds,031D,E01011691,2,2,2,3,1,2,7,5,3,1,Leeds 031D
132,Leeds,032A,E01011504,1,2,1,2,1,1,5,2,2,2,Leeds 032A
133,Leeds,032B,E01011641,9,9,8,10,7,3,10,5,9,9,Leeds 032B
134,Leeds,032C,E01011642,7,8,6,9,5,4,9,4,9,6,Leeds 032C
135,Leeds,032D,E01011645,6,7,7,10,4,2,9,3,9,5,Leeds 032D
136,Leeds,033A,E01011484,1,1,1,1,1,1,6,2,1,2,Leeds 033A
137,Leeds,033B,E01011485,2,3,2,3,1,3,3,2,3,3,Leeds 033B
138,Leeds,033E,E01011686,2,2,1,3,1,2,5,2,3,2,Leeds 033E
139,Leeds,033F,E01032493,8,8,8,7,7,5,7,4,7,8,Leeds 033F
140,Leeds,033G,E01032494,2,1,2,2,2,1,8,3,1,1,Leeds 033G
141,Leeds,034A,E01011350,7,8,8,10,7,2,9,4,8,5,Leeds 034A
142,Leeds,034B,E01011351,7,7,7,10,5,3,10,2,7,4,Leeds 034B
143,Leeds,034C,E01011352,5,5,6,9,3,4,10,1,5,2,Leeds 034C
144,Leeds,034D,E01011353,9,9,9,10,7,7,9,4,10,8,Leeds 034D
145,Leeds,035A,E01011656,2,2,2,1,2,1,4,4,2,3,Leeds 035A
146,Leeds,035B,E01011657,1,1,1,1,1,3,5,3,2,2,Leeds 035B
147,Leeds,035C,E01011659,1,1,1,1,1,1,4,4,2,2,Leeds 035C
148,Leeds,035D,E01011661,1,1,1,1,1,1,4,3,2,1,Leeds 035D
149,Leeds,037A,E01011643,7,7,7,10,5,5,8,4,8,7,Leeds 037A
150,Leeds,037B,E01011644,4,4,3,9,3,1,4,5,5,5,Leeds 037B
151,Leeds,037C,E01011646,7,7,8,7,5,5,9,3,7,6,Leeds 037C
152,Leeds,037D,E01011647,4,4,4,3,6,3,5,3,5,3,Leeds 037D
153,Leeds,037E,E01011648,5,5,5,5,5,4,5,3,7,5,Leeds 037E
154,Leeds,038A,E01011354,1,1,1,2,2,2,2,2,1,2,Leeds 038A
155,Leeds,038B,E01011355,1,2,2,2,1,1,7,2,3,2,Leeds 038B
156,Leeds,038C,E01011357,1,1,1,1,1,2,3,2,1,1,Leeds 038C
157,Leeds,038D,E01011450,2,2,2,4,1,3,4,6,3,1,Leeds 038D
158,Leeds,039A,E01011588,7,7,7,9,6,5,7,4,7,7,Leeds 039A
159,Leeds,039B,E01011589,7,7,9,10,5,3,10,3,8,6,Leeds 039B
160,Leeds,039C,E01011590,8,9,8,9,6,2,10,6,10,9,Leeds 039C
161,Leeds,039D,E01011592,7,7,7,9,5,4,8,4,9,6,Leeds 039D
162,Leeds,039E,E01011593,10,10,10,10,9,6,7,6,10,10,Leeds 039E
163,Leeds,040A,E01011421,2,2,2,2,2,2,7,1,3,2,Leeds 040A
164,Leeds,040B,E01011425,6,6,6,5,5,3,9,4,8,5,Leeds 040B
165,Leeds,040C,E01011658,1,1,1,1,1,1,4,3,1,1,Leeds 040C
