,City,Code.1,Code.2,a. Index of Multiple Deprivation (IMD),b. Income Deprivation Domain,c. Employment Deprivation Domain,"d. Education, Skills and Training Domain",e. Health Deprivation and Disability Domain,f. Crime Domain,g. Barriers to Housing and Services Domain,h. Living Environment Deprivation Domain,i. Income Deprivation Affecting Children Index (IDACI),j. Income Deprivation Affecting Older People Index (IDAOPI),LSOA
292,Leeds,071A,E01011284,2,2,2,2,2,2,7,1,1,2,Leeds 071A
293,Leeds,071B,E01011292,1,1,1,1,1,1,6,1,1,2,Leeds 071B
294,Leeds,071C,E01011293,1,2,2,1,2,1,6,1,2,2,Leeds 071C
295,Leeds,071D,E01011294,1,1,1,1,1,1,4,4,1,1,Leeds 071D
296,Leeds,071E,E01011363,1,1,1,1,1,2,5,1,1,2,Leeds 071E
297,Leeds,072A,E01011616,1,2,1,1,1,2,4,4,1,3,Leeds 072A
298,Leeds,072B,E01011620,1,1,1,1,2,1,3,5,1,3,Leeds 072B
299,Leeds,072C,E01011622,1,1,1,1,1,1,2,5,1,1,Leeds 072C
300,Leeds,072D,E01011624,1,1,1,1,1,2,2,4,1,1,Leeds 072D
301,Leeds,073A,E01011411,9,9,7,9,7,9,9,7,10,8,Leeds 073A
302,Leeds,073B,E01011414,8,8,7,8,7,9,6,4,9,9,Leeds 073B
303,Leeds,073C,E01011418,8,9,9,9,3,10,6,7,9,6,Leeds 073C
304,Leeds,073D,E01011419,9,10,8,9,6,10,4,9,10,10,Leeds 073D
305,Leeds,074A,E01011396,7,6,6,8,4,7,9,3,6,5,Leeds 074A
306,Leeds,074B,E01011399,8,7,7,7,5,7,8,6,8,7,Leeds 074B
307,Leeds,074C,E01011400,6,5,4,5,3,8,8,8,5,5,Leeds 074C
308,Leeds,074D,E01011403,8,7,8,9,4,8,8,7,9,5,Leeds 074D
309,Leeds,075B,E01011623,1,1,1,1,1,1,6,2,1,2,Leeds 075B
310,Leeds,075C,E01011625,1,1,1,1,2,4,6,1,1,3,Leeds 075C
311,Leeds,075D,E01011626,1,1,1,1,1,2,3,2,1,1,Leeds 075D
312,Leeds,075E,E01033021,1,2,2,1,1,2,4,2,2,1,Leeds 075E
313,Leeds,075F,E01033033,4,8,9,4,2,4,1,1,6,1,Leeds 075F
314,Leeds,075G,E01033034,5,10,10,4,6,4,2,1,6,8,Leeds 075G
315,Leeds,076A,E01011602,5,4,6,7,4,2,8,3,6,3,Leeds 076A
316,Leeds,076B,E01011603,7,8,8,7,7,4,9,2,10,6,Leeds 076B
317,Leeds,076C,E01011605,8,9,8,9,6,4,8,6,9,8,Leeds 076C
318,Leeds,076D,E01011606,4,5,4,3,5,1,6,3,5,7,Leeds 076D
319,Leeds,076E,E01011613,4,4,4,4,5,1,7,4,4,5,Leeds 076E
320,Leeds,077A,E01011397,8,8,8,8,5,8,6,6,7,8,Leeds 077A
321,Leeds,077B,E01011398,9,10,9,9,6,10,3,5,9,10,Leeds 077B
322,Leeds,077C,E01011401,10,10,9,9,7,10,10,6,10,10,Leeds 077C
323,Leeds,077D,E01011404,9,10,9,7,7,10,9,4,10,8,Leeds 077D
324,Leeds,077E,E01011405,8,8,6,7,5,10,9,8,8,9,Leeds 077E
325,Leeds,078A,E01011725,1,1,1,1,1,1,4,3,1,2,Leeds 078A
326,Leeds,078B,E01011729,1,1,2,1,1,1,6,1,1,1,Leeds 078B
327,Leeds,078C,E01011730,1,2,2,1,1,1,3,1,2,3,Leeds 078C
328,Leeds,078D,E01011735,1,1,1,1,1,1,3,1,1,3,Leeds 078D
329,Leeds,079A,E01011600,7,7,8,8,5,3,9,4,7,5,Leeds 079A
330,Leeds,079B,E01011601,3,3,3,3,3,5,3,2,4,3,Leeds 079B
331,Leeds,079C,E01011604,7,7,8,8,6,3,10,4,9,5,Leeds 079C
332,Leeds,079D,E01011607,6,5,5,6,5,4,7,5,5,4,Leeds 079D
333,Leeds,079E,E01011612,3,3,3,4,2,2,8,2,5,3,Leeds 079E
334,Leeds,080A,E01011726,2,3,2,2,2,1,6,2,3,3,Leeds 080A
335,Leeds,080B,E01011727,4,7,6,3,4,1,8,3,7,6,Leeds 080B
336,Leeds,080C,E01011728,6,7,7,5,5,5,4,5,7,7,Leeds 080C
337,Leeds,080D,E01011739,1,1,1,1,1,1,7,4,2,2,Leeds 080D
338,Leeds,081A,E01011362,1,1,1,2,1,1,7,1,2,1,Leeds 081A
339,Leeds,081B,E01011731,5,6,6,4,5,5,4,3,6,6,Leeds 081B
340,Leeds,081C,E01011732,5,6,6,4,3,4,7,3,7,4,Leeds 081C
341,Leeds,081D,E01011733,5,7,5,4,4,4,7,2,9,6,Leeds 081D
342,Leeds,082A,E01011366,1,1,1,1,1,2,6,1,1,1,Leeds 082A
343,Leeds,082C,E01011368,1,1,1,1,1,1,4,1,1,1,Leeds 082C
344,Leeds,082D,E01011370,2,3,2,2,1,2,6,1,3,2,Leeds 082D
345,Leeds,082E,E01033013,1,2,2,3,1,2,3,1,1,1,Leeds 082E
346,Leeds,082F,E01033032,3,5,6,2,3,6,2,1,3,3,Leeds 082F
347,Leeds,083A,E01011734,5,5,7,5,6,6,6,2,4,6,Leeds 083A
348,Leeds,083B,E01011736,5,6,6,5,4,4,9,2,5,5,Leeds 083B
349,Leeds,083C,E01011737,1,2,2,2,2,1,8,1,1,4,Leeds 083C
350,Leeds,083D,E01011738,6,7,7,6,6,3,4,4,8,6,Leeds 083D
351,Leeds,085A,E01011364,1,1,1,1,1,2,4,2,2,1,Leeds 085A
352,Leeds,085B,E01011371,1,1,1,1,1,1,4,2,2,1,Leeds 085B
353,Leeds,085C,E01011373,1,1,1,1,1,1,4,2,1,1,Leeds 085C
354,Leeds,085D,E01011374,2,2,2,2,2,4,7,1,2,5,Leeds 085D
355,Leeds,086A,E01011312,1,1,1,1,1,1,2,1,2,1,Leeds 086A
356,Leeds,086B,E01011316,1,1,1,1,2,1,4,1,1,3,Leeds 086B
357,Leeds,086C,E01011372,1,1,1,1,1,1,2,1,1,1,Leeds 086C
358,Leeds,086D,E01011375,1,1,1,1,1,3,2,1,1,1,Leeds 086D
359,Leeds,087A,E01011390,4,4,4,2,3,9,8,7,3,4,Leeds 087A
360,Leeds,087B,E01011391,5,5,4,3,3,8,9,7,5,6,Leeds 087B
361,Leeds,087C,E01011392,5,6,4,4,5,7,6,7,5,8,Leeds 087C
362,Leeds,087D,E01011402,7,8,6,7,4,8,7,6,7,8,Leeds 087D
363,Leeds,088A,E01011298,3,4,4,2,3,6,1,4,3,4,Leeds 088A
364,Leeds,088B,E01011299,6,7,7,7,5,6,2,5,8,6,Leeds 088B
365,Leeds,088C,E01011302,9,9,9,6,6,9,9,8,9,9,Leeds 088C
366,Leeds,088D,E01011303,6,5,5,4,4,5,9,7,5,6,Leeds 088D
367,Leeds,089A,E01011300,5,5,4,4,4,6,6,6,5,4,Leeds 089A
368,Leeds,089B,E01011301,10,10,8,7,7,9,10,7,9,9,Leeds 089B
369,Leeds,089C,E01011304,3,4,3,3,2,5,7,5,5,3,Leeds 089C
370,Leeds,089D,E01011305,6,7,5,5,5,6,10,5,9,6,Leeds 089D
371,Leeds,089E,E01011306,9,9,8,6,6,9,8,8,9,8,Leeds 089E
372,Leeds,090A,E01011315,3,4,4,3,4,2,9,1,2,5,Leeds 090A
373,Leeds,090B,E01011317,1,1,1,1,1,4,4,4,1,1,Leeds 090B
374,Leeds,090C,E01011318,1,1,1,1,1,2,2,3,1,2,Leeds 090C
375,Leeds,090D,E01011321,1,2,2,1,2,4,2,2,2,2,Leeds 090D
376,Leeds,090E,E01011369,3,3,4,2,2,2,5,2,4,4,Leeds 090E
377,Leeds,091A,E01011313,3,3,3,3,3,4,8,1,2,5,Leeds 091A
378,Leeds,091B,E01011314,4,4,5,4,5,2,8,1,4,5,Leeds 091B
379,Leeds,091C,E01011319,4,4,4,3,4,4,7,1,4,3,Leeds 091C
380,Leeds,091D,E01011320,4,5,5,4,7,1,9,1,4,7,Leeds 091D
381,Leeds,091E,E01011322,3,3,3,4,4,2,3,3,3,5,Leeds 091E
382,Leeds,092A,E01011471,1,1,1,1,2,1,4,3,1,2,Leeds 092A
383,Leeds,092B,E01011472,1,1,1,1,1,1,5,4,1,2,Leeds 092B
384,Leeds,092C,E01011473,1,1,1,1,1,1,2,4,1,1,Leeds 092C
385,Leeds,092D,E01011474,1,1,1,1,1,1,3,5,1,1,Leeds 092D
386,Leeds,093A,E01011518,6,6,6,5,5,9,3,4,6,5,Leeds 093A
387,Leeds,093B,E01011524,7,8,7,6,6,7,5,3,8,10,Leeds 093B
388,Leeds,093C,E01011526,10,10,9,9,8,7,8,7,10,8,Leeds 093C
389,Leeds,093D,E01011531,7,8,6,6,5,6,8,5,9,8,Leeds 093D
390,Leeds,094A,E01011466,1,2,2,1,2,1,4,2,2,3,Leeds 094A
391,Leeds,094B,E01011469,4,4,4,3,6,3,5,4,3,6,Leeds 094B
392,Leeds,094C,E01011475,1,1,1,1,1,2,2,2,1,3,Leeds 094C
393,Leeds,094D,E01011476,1,1,2,1,1,4,6,4,1,2,Leeds 094D
394,Leeds,095A,E01011519,3,3,3,3,3,4,5,3,4,4,Leeds 095A
395,Leeds,095B,E01011522,9,10,9,9,7,6,10,4,9,10,Leeds 095B
396,Leeds,095C,E01011525,6,6,6,7,5,4,9,2,5,5,Leeds 095C
397,Leeds,095D,E01011528,9,8,9,8,8,8,7,5,8,7,Leeds 095D
398,Leeds,095E,E01011532,3,3,3,2,2,4,8,3,4,1,Leeds 095E
399,Leeds,096A,E01011520,8,8,8,7,7,7,9,5,8,8,Leeds 096A
400,Leeds,096B,E01011521,7,6,5,6,7,5,9,4,7,7,Leeds 096B
401,Leeds,096C,E01011523,5,5,5,4,3,5,7,2,7,4,Leeds 096C
402,Leeds,096D,E01011527,8,8,8,6,7,6,7,6,7,9,Leeds 096D
403,Leeds,096E,E01011529,4,3,4,2,4,5,4,4,3,5,Leeds 096E
404,Leeds,097B,E01011635,7,7,8,6,6,5,3,6,7,6,Leeds 097B
405,Leeds,097C,E01011637,7,8,7,6,5,5,9,4,8,8,Leeds 097C
406,Leeds,097D,E01011638,8,7,7,6,6,5,9,7,6,8,Leeds 097D
407,Leeds,097F,E01032487,2,2,2,1,2,4,7,6,2,4,Leeds 097F
408,Leeds,097G,E01032488,8,8,7,8,5,6,6,7,8,9,Leeds 097G
409,Leeds,098A,E01011627,3,3,3,2,4,3,6,6,3,5,Leeds 098A
410,Leeds,098B,E01011628,9,9,9,6,6,8,10,5,8,9,Leeds 098B
411,Leeds,098C,E01011629,5,5,4,4,4,5,9,6,5,4,Leeds 098C
412,Leeds,098D,E01011632,2,2,2,1,1,3,6,4,2,3,Leeds 098D
413,Leeds,098E,E01011633,7,7,6,6,5,7,10,6,9,6,Leeds 098E
414,Leeds,099A,E01011490,6,6,6,6,4,3,5,6,6,4,Leeds 099A
415,Leeds,099C,E01011502,2,3,3,1,2,2,8,4,2,4,Leeds 099C
416,Leeds,099E,E01032497,1,1,1,1,2,1,4,3,1,3,Leeds 099E
417,Leeds,099F,E01032498,4,5,4,3,3,1,9,5,3,7,Leeds 099F
418,Leeds,100A,E01011496,8,8,9,8,6,3,6,6,8,6,Leeds 100A
419,Leeds,100B,E01011630,8,9,8,7,6,7,7,5,8,8,Leeds 100B
420,Leeds,100C,E01011634,4,4,4,4,3,4,5,6,3,6,Leeds 100C
421,Leeds,100D,E01011636,6,6,5,6,4,4,9,6,7,7,Leeds 100D
422,Leeds,100E,E01011639,2,3,2,1,2,2,8,4,2,4,Leeds 100E
423,Leeds,101A,E01011491,1,1,1,1,1,1,5,1,1,2,Leeds 101A
424,Leeds,101B,E01011492,1,1,1,1,1,1,4,3,1,1,Leeds 101B
425,Leeds,101C,E01011493,1,1,1,1,2,1,3,1,1,2,Leeds 101C
426,Leeds,101D,E01011494,1,1,2,1,1,2,8,2,1,2,Leeds 101D
427,Leeds,101E,E01011497,1,1,1,1,1,4,6,4,1,1,Leeds 101E
428,Leeds,102B,E01011540,2,2,1,2,1,6,3,4,3,3,Leeds 102B
429,Leeds,102F,E01032489,4,5,5,6,4,4,8,1,4,5,Leeds 102F
430,Leeds,102G,E01032490,7,9,7,8,5,7,3,5,10,8,Leeds 102G
431,Leeds,102H,E01032491,8,9,8,7,7,8,3,6,9,10,Leeds 102H
432,Leeds,102I,E01032492,2,2,2,1,2,5,6,1,3,2,Leeds 102I
433,Leeds,103A,E01011307,3,3,3,1,3,5,8,7,3,4,Leeds 103A
434,Leeds,103B,E01011308,6,5,6,4,5,7,8,6,6,5,Leeds 103B
435,Leeds,103C,E01011393,7,7,6,7,4,7,6,6,10,4,Leeds 103C
436,Leeds,103D,E01011394,7,7,6,7,4,10,9,6,8,6,Leeds 103D
437,Leeds,103E,E01011395,5,6,5,4,4,8,1,7,7,5,Leeds 103E
438,Leeds,104A,E01011533,3,4,3,4,2,3,8,1,4,5,Leeds 104A
439,Leeds,104B,E01011541,3,3,3,6,2,4,6,1,5,2,Leeds 104B
440,Leeds,104C,E01011545,4,5,5,4,2,5,6,1,3,5,Leeds 104C
441,Leeds,104D,E01011547,3,3,3,4,2,3,2,2,4,3,Leeds 104D
442,Leeds,105C,E01011499,4,5,5,5,4,4,2,3,5,4,Leeds 105C
443,Leeds,105D,E01011500,5,5,5,4,4,6,6,5,6,4,Leeds 105D
444,Leeds,105E,E01032495,5,5,6,4,5,2,3,6,5,4,Leeds 105E
445,Leeds,105F,E01032496,7,8,8,6,6,6,9,3,9,4,Leeds 105F
446,Leeds,106A,E01011530,8,8,7,6,7,7,7,4,7,9,Leeds 106A
447,Leeds,106B,E01011534,6,7,7,8,5,5,8,1,6,6,Leeds 106B
448,Leeds,106C,E01011546,4,4,4,3,5,7,2,1,4,5,Leeds 106C
449,Leeds,106D,E01011548,6,7,7,6,6,5,8,1,7,7,Leeds 106D
450,Leeds,106E,E01011550,7,9,8,7,7,5,3,3,9,9,Leeds 106E
451,Leeds,107A,E01011537,5,6,4,5,4,9,8,4,8,6,Leeds 107A
452,Leeds,107B,E01011538,2,3,2,2,2,3,6,2,4,3,Leeds 107B
453,Leeds,107C,E01011551,6,6,6,6,5,3,5,4,7,6,Leeds 107C
454,Leeds,107D,E01011552,2,2,2,1,2,5,7,5,3,3,Leeds 107D
455,Leeds,108A,E01011535,10,9,9,9,8,9,9,6,9,9,Leeds 108A
456,Leeds,108B,E01011536,8,8,6,6,6,9,7,4,8,8,Leeds 108B
457,Leeds,108C,E01011549,10,10,10,9,7,9,9,8,10,10,Leeds 108C
458,Leeds,108D,E01011553,8,7,7,7,7,9,8,4,5,9,Leeds 108D
459,Leeds,109A,E01011685,9,10,10,10,8,7,4,5,9,9,Leeds 109A
460,Leeds,109B,E01011687,8,7,7,10,6,3,10,5,8,6,Leeds 109B
461,Leeds,109C,E01011690,8,9,9,10,6,5,6,2,10,9,Leeds 109C
462,Leeds,109D,E01011692,7,8,7,10,6,3,8,3,9,8,Leeds 109D
463,Leeds,109E,E01011693,7,7,7,9,6,4,9,2,5,6,Leeds 109E
464,Leeds,109F,E01011694,8,8,9,10,7,6,6,3,7,8,Leeds 109F
465,Leeds,109G,E01032876,9,10,10,10,10,7,1,7,9,10,Leeds 109G
466,Leeds,110A,E01011442,7,10,10,9,4,4,4,1,4,4,Leeds 110A
467,Leeds,110B,E01011443,4,8,9,9,3,1,3,1,6,2,Leeds 110B
468,Leeds,110C,E01011444,3,7,8,8,2,1,3,1,2,1,Leeds 110C
469,Leeds,110D,E01011451,6,10,10,6,4,5,2,2,9,5,Leeds 110D
470,Leeds,110E,E01011668,4,5,6,3,2,1,5,3,1,1,Leeds 110E
471,Leeds,110F,E01011669,4,5,6,4,3,3,4,1,1,2,Leeds 110F
472,Leeds,110G,E01032946,6,8,10,9,3,4,3,1,6,2,Leeds 110G
473,Leeds,111A,E01033008,5,9,10,7,3,5,3,1,6,3,Leeds 111A
474,Leeds,111B,E01033010,3,10,10,3,3,1,1,1,9,4,Leeds 111B
475,Leeds,111C,E01033011,3,8,8,2,3,1,2,1,5,5,Leeds 111C
476,Leeds,111D,E01033015,5,10,10,9,6,7,1,1,9,7,Leeds 111D
477,Leeds,111E,E01033016,5,10,10,9,4,3,2,1,5,5,Leeds 111E
478,Leeds,112A,E01011467,1,2,2,2,1,1,6,5,3,1,Leeds 112A
479,Leeds,112B,E01011468,1,1,1,1,1,3,5,6,1,2,Leeds 112B
480,Leeds,112C,E01011470,2,3,2,2,1,8,3,3,3,3,Leeds 112C
481,Leeds,112D,E01033018,4,10,10,6,6,5,1,1,7,7,Leeds 112D
482,Leeds,112E,E01033019,5,10,10,3,7,5,1,1,10,7,Leeds 112E
