Reference Number,Number of Casualties,Casualty Class,Casualty Severity,Latitude,Longitude,Easting,Northing
285709,1,Pedestrian,Slight,53.84467923,-1.511497155,432137,438849
286009,1,Pedestrian,Slight,53.82445052,-1.442678276,436682,436632
286209,4,Pedestrian,Slight,53.88547604,-1.456139091,435744,443414
286509,1,Pedestrian,Slight,53.79738316,-1.573965757,428059,433561
286609,1,Pedestrian,Serious,53.81048268,-1.554832328,429310,435026
286809,1,Pedestrian,Slight,53.7960787,-1.549093818,429698,433426
291409,1,Pedestrian,Serious,53.865941,-1.680564636,421004,441151
300709,1,Pedestrian,Serious,53.82200031,-1.507218419,432436,436328
304309,1,Pedestrian,Slight,53.84824244,-1.605282467,425965,439207
304909,1,Pedestrian,Slight,53.79449447,-1.475611866,434539,433283
306809,1,Pedestrian,Slight,53.78281731,-1.575509725,427967,431940
306909,1,Pedestrian,Slight,53.77647017,-1.553022155,429453,431243
307009,1,Pedestrian,Slight,53.74459906,-1.551798513,429556,427698
312509,1,Pedestrian,Slight,53.79683733,-1.595455794,426644,433492
322009,3,Pedestrian,Serious,53.74110039,-1.421264036,438167,427371
325509,1,Pedestrian,Slight,53.80003223,-1.532226895,430806,433873
327809,1,Pedestrian,Slight,53.80688099,-1.509491558,432298,434645
330309,1,Pedestrian,Slight,53.73935172,-1.398392249,439677,427189
341909,1,Pedestrian,Slight,53.72859486,-1.585818359,427323,425904
342709,2,Pedestrian,Fatal,53.74595374,-1.313782211,445250,427974
344009,1,Pedestrian,Slight,53.80460357,-1.487239902,433765,434402
344809,2,Pedestrian,Slight,53.81281356,-1.562903465,428777,435282
347309,1,Pedestrian,Slight,53.82068329,-1.493166016,433362,436188
350109,1,Pedestrian,Slight,53.90094433,-1.359207204,442099,445188
350909,2,Pedestrian,Serious,53.78710051,-1.559284727,429033,432423
351809,1,Pedestrian,Slight,53.79860161,-1.543539758,430062,433709
352609,1,Pedestrian,Serious,53.78711528,-1.618668274,425121,432402
358109,1,Pedestrian,Slight,53.80185298,-1.643544565,423474,434033
359309,1,Pedestrian,Slight,53.76215521,-1.528445608,431083,429661
360809,1,Pedestrian,Slight,53.81600575,-1.459484588,435583,435684
363309,1,Pedestrian,Slight,53.79043886,-1.572639463,428151,432789
367809,1,Pedestrian,Serious,53.79204161,-1.386783563,440392,433057
370009,1,Pedestrian,Slight,53.79862951,-1.588514624,427100,433694
370509,1,Pedestrian,Slight,53.79338544,-1.545251251,429953,433128
370609,1,Pedestrian,Slight,53.79192868,-1.658871024,422470,432924
373309,1,Pedestrian,Serious,53.80021838,-1.598475359,426443,433867
378109,1,Pedestrian,Slight,53.79393842,-1.386801443,440389,433268
380109,1,Pedestrian,Slight,53.80407056,-1.478286621,434355,434347
384809,1,Pedestrian,Slight,53.81220355,-1.477790716,434381,435252
395409,1,Pedestrian,Slight,53.8006697,-1.618317538,425136,433910
400909,1,Pedestrian,Slight,53.80056552,-1.547041296,429830,433926
401009,1,Pedestrian,Slight,53.81937431,-1.515756518,431876,436032
403109,2,Pedestrian,Serious,53.85012313,-1.605888082,425924,439416
403409,1,Pedestrian,Slight,53.79712795,-1.538985519,430363,433547
403709,1,Pedestrian,Slight,53.79653365,-1.538718737,430381,433481
404509,1,Pedestrian,Slight,53.81118551,-1.515820528,431878,435121
407909,1,Pedestrian,Serious,53.79665091,-1.538823734,430374,433494
408609,1,Pedestrian,Slight,53.85741228,-1.677877439,421185,440203
408909,1,Pedestrian,Serious,53.7999648,-1.649482531,423084,433821
412209,1,Pedestrian,Slight,53.8018169,-1.540452609,430263,434068
413309,1,Pedestrian,Slight,53.80114457,-1.49615015,433181,434013
415909,1,Pedestrian,Slight,53.83379206,-1.502399392,432744,437642
416109,1,Pedestrian,Slight,53.8068066,-1.511087066,432193,434636
419409,1,Pedestrian,Slight,53.79862814,-1.703837197,419505,433656
422909,1,Pedestrian,Slight,53.80761555,-1.637739712,423853,434676
425709,1,Pedestrian,Slight,53.81744397,-1.449591976,436233,435849
427909,1,Pedestrian,Slight,53.74259857,-1.353824408,442613,427576
428809,1,Pedestrian,Slight,53.84464799,-1.510448667,432206,438846
432709,1,Pedestrian,Slight,53.79641971,-1.532510028,430790,433471
433309,1,Pedestrian,Slight,53.77214244,-1.549562822,429684,430763
433709,2,Pedestrian,Slight,53.79910818,-1.542015833,430162,433766
434709,1,Pedestrian,Slight,53.92759783,-1.385209513,440365,448138
442309,1,Pedestrian,Slight,53.80844654,-1.560898568,428912,434797
443109,1,Pedestrian,Slight,53.80245234,-1.505837992,432542,434154
446009,1,Pedestrian,Slight,53.83873749,-1.635404154,423989,438139
450509,1,Pedestrian,Slight,53.74804392,-1.547545752,429834,428083
453009,1,Pedestrian,Slight,53.80134357,-1.543616275,430055,434014
454209,1,Pedestrian,Slight,53.79190571,-1.430311589,437525,433018
455009,1,Pedestrian,Serious,53.79752142,-1.601097523,426272,433566
458609,1,Pedestrian,Serious,53.80716711,-1.550387246,429605,434659
462709,1,Pedestrian,Slight,53.77594882,-1.543482068,430082,431189
466309,1,Pedestrian,Slight,53.80410969,-1.567185343,428501,434312
470109,1,Pedestrian,Slight,53.7961836,-1.52959748,430982,433446
471409,1,Pedestrian,Serious,53.79702444,-1.58705754,427197,433516
474709,1,Pedestrian,Serious,53.79694996,-1.588925834,427074,433507
478509,2,Pedestrian,Fatal,53.73612635,-1.598601275,426475,426737
486509,1,Pedestrian,Slight,53.8068042,-1.554309379,429347,434617
487909,1,Pedestrian,Slight,53.78258323,-1.601603494,426248,431904
493409,1,Pedestrian,Slight,53.71697452,-1.535088732,430678,424632
499709,1,Pedestrian,Slight,53.82206479,-1.657410892,422550,436277
502609,1,Pedestrian,Serious,53.74149536,-1.548753357,429759,427354
503309,2,Pedestrian,Slight,53.79747698,-1.653314357,422833,433543
503709,1,Pedestrian,Slight,53.78520983,-1.610352181,425670,432193
504009,1,Pedestrian,Slight,53.7775153,-1.553663637,429410,431359
504909,1,Pedestrian,Slight,53.7879518,-1.544141138,430030,432524
509409,1,Pedestrian,Slight,53.75436962,-1.530489499,430954,428794
516609,1,Pedestrian,Slight,53.80029466,-1.55878196,429057,433891
516809,2,Pedestrian,Slight,53.79598406,-1.48538642,433894,433444
518209,1,Pedestrian,Fatal,53.82890007,-1.51956698,431618,437090
518609,1,Pedestrian,Slight,53.79061194,-1.54634393,429883,432819
520509,1,Pedestrian,Slight,53.80711848,-1.510415203,432237,434671
521109,1,Pedestrian,Slight,53.7484641,-1.594631534,426729,428111
527509,1,Pedestrian,Slight,53.83107909,-1.55307919,429411,437318
529109,1,Pedestrian,Slight,53.80841708,-1.507043606,432458,434817
530509,1,Pedestrian,Slight,53.79573987,-1.661982971,422263,433347
532509,1,Pedestrian,Slight,53.80998945,-1.509060377,432324,434991
533209,1,Pedestrian,Slight,53.90459709,-1.344811592,443041,445603
536209,1,Pedestrian,Slight,53.78442549,-1.557855582,429129,432126
536709,1,Pedestrian,Slight,53.79626559,-1.53448556,430660,433453
543209,2,Pedestrian,Serious,53.8083474,-1.621482745,424923,434763
550909,1,Pedestrian,Slight,53.76961732,-1.576932653,427882,430471
552109,1,Pedestrian,Slight,53.79282053,-1.515758777,431896,433078
552309,1,Pedestrian,Slight,53.74440593,-1.606908328,425922,427655
553909,1,Pedestrian,Slight,53.79899909,-1.541698153,430183,433754
559109,1,Pedestrian,Serious,53.8106091,-1.675487289,421366,434997
559209,1,Pedestrian,Serious,53.7840598,-1.374711273,441195,432176
559609,1,Pedestrian,Slight,53.79174268,-1.565247969,428637,432937
563009,1,Pedestrian,Slight,53.76895141,-1.581855508,427558,430395
564409,1,Pedestrian,Serious,53.76999643,-1.3619618,442049,430619
565809,1,Pedestrian,Serious,53.80165528,-1.524358098,431323,434057
570909,1,Pedestrian,Slight,53.7825779,-1.584148566,427398,431910
573209,1,Pedestrian,Slight,53.80726375,-1.566879488,428519,434663
578009,1,Pedestrian,Slight,53.90265836,-1.36035306,442022,445378
581109,1,Pedestrian,Slight,53.80024885,-1.539422012,430332,433894
581209,1,Pedestrian,Slight,53.79630203,-1.532298771,430804,433458
582509,2,Pedestrian,Slight,53.81945217,-1.530825696,430884,436034
582609,1,Pedestrian,Slight,53.81025711,-1.554606894,429325,435001
589309,1,Pedestrian,Slight,53.766399,-1.366719841,441739,430216
593209,1,Pedestrian,Serious,53.80113998,-1.49719797,433112,434012
594509,1,Pedestrian,Slight,53.75281483,-1.482531828,434117,428643
598909,1,Pedestrian,Slight,53.77660459,-1.543368718,430089,431262
600509,1,Pedestrian,Slight,53.77583214,-1.543528861,430079,431176
600609,1,Pedestrian,Slight,53.81181566,-1.626737197,424575,435147
600709,1,Pedestrian,Slight,53.90521675,-1.346354626,442939,445671
604509,1,Pedestrian,Slight,53.82113323,-1.530852494,430881,436221
605209,1,Pedestrian,Serious,53.77575141,-1.543575265,430076,431167
613509,1,Pedestrian,Slight,53.866924,-1.685180596,420700,441259
615809,1,Pedestrian,Slight,53.79022541,-1.399137141,439580,432848
616609,2,Pedestrian,Serious,53.76831089,-1.551379092,429567,430336
617209,1,Pedestrian,Slight,53.80414272,-1.613715005,425437,434298
623309,1,Pedestrian,Slight,53.80019176,-1.538602668,430386,433888
625909,1,Pedestrian,Slight,53.79595551,-1.661950871,422265,433371
630109,1,Pedestrian,Serious,53.80776353,-1.539370022,430330,434730
631609,1,Pedestrian,Serious,53.7965612,-1.538870268,430371,433484
641609,1,Pedestrian,Slight,53.82749337,-1.39535231,439794,436996
643809,1,Pedestrian,Slight,53.74664855,-1.579059088,427757,427915
644709,1,Pedestrian,Slight,53.81546732,-1.610436143,425646,435559
648209,1,Pedestrian,Serious,53.80986862,-1.554079428,429360,434958
648609,1,Pedestrian,Slight,53.80883794,-1.515467886,431903,434860
649509,1,Pedestrian,Slight,53.75481672,-1.624148407,424779,428807
656309,1,Pedestrian,Slight,53.86593838,-1.682967576,420846,441150
657109,1,Pedestrian,Slight,53.87003147,-1.691058679,420312,441603
657309,1,Pedestrian,Serious,53.83613914,-1.617903907,425142,437856
662109,1,Pedestrian,Slight,53.85088573,-1.674339668,421421,439478
663409,1,Pedestrian,Slight,53.81306197,-1.510832,432205,435332
663609,1,Pedestrian,Slight,53.7955717,-1.585462419,427303,433355
664109,1,Pedestrian,Slight,53.80085757,-1.609660478,425706,433934
672109,1,Pedestrian,Slight,53.79593762,-1.661981381,422263,433369
675709,1,Pedestrian,Slight,53.82015286,-1.454220394,435926,436148
676109,1,Pedestrian,Slight,53.89924083,-1.685805274,420643,444854
676409,1,Pedestrian,Slight,53.79360309,-1.522612148,431444,433162
679909,2,Pedestrian,Slight,53.80611038,-1.490668921,433538,434568
680309,1,Pedestrian,Slight,53.83398007,-1.643636548,423450,437607
683309,1,Pedestrian,Serious,53.77534042,-1.566039692,428596,431112
685009,1,Pedestrian,Serious,53.80460174,-1.547073724,429825,434375
686409,1,Pedestrian,Slight,53.794375,-1.543084627,430095,433239
695909,1,Pedestrian,Slight,53.80364819,-1.610894984,425623,434244
697609,1,Pedestrian,Slight,53.90623295,-1.692268244,420215,445630
700609,1,Pedestrian,Slight,53.79477344,-1.432246486,437395,433336
710209,1,Pedestrian,Serious,53.79641132,-1.532661954,430780,433470
714609,1,Pedestrian,Slight,53.77615974,-1.551735498,429538,431209
717509,1,Pedestrian,Slight,53.81219157,-1.450951859,436148,435264
720809,1,Pedestrian,Slight,53.79769785,-1.661405431,422300,433565
728809,1,Pedestrian,Serious,53.79868684,-1.579130311,427718,433704
732209,1,Pedestrian,Slight,53.79760114,-1.542836989,430109,433598
734009,1,Pedestrian,Slight,53.77302534,-1.545319594,429963,430863
735909,1,Pedestrian,Serious,53.82675528,-1.475361006,434529,436872
737409,1,Pedestrian,Slight,53.79773804,-1.465094583,435229,433649
737509,1,Pedestrian,Slight,53.78226099,-1.602016356,426221,431868
738709,1,Pedestrian,Slight,53.80285304,-1.543432842,430066,434182
740509,1,Pedestrian,Slight,53.90075436,-1.358981792,442114,445167
741709,1,Pedestrian,Slight,53.82000954,-1.579311662,427692,436076
743109,1,Pedestrian,Serious,53.78375976,-1.557710794,429139,432052
747409,1,Pedestrian,Serious,53.80798384,-1.452738218,436034,434795
750709,1,Pedestrian,Serious,53.79865107,-1.537678167,430448,433717
760809,1,Pedestrian,Slight,53.81365465,-1.564307336,428684,435375
774509,2,Pedestrian,Slight,53.80786832,-1.515767628,431884,434752
776609,1,Pedestrian,Slight,53.7957425,-1.541035238,430229,433392
783909,1,Pedestrian,Slight,53.87571539,-1.706548134,419291,442231
784309,1,Pedestrian,Slight,53.82779726,-1.562610751,428786,436949
787209,1,Pedestrian,Serious,53.82566249,-1.456048024,435801,436760
788709,1,Pedestrian,Slight,53.81653978,-1.456318072,435791,435745
792209,1,Pedestrian,Serious,53.79248075,-1.53437565,430670,433032
792409,1,Pedestrian,Slight,53.81934717,-1.582690817,427470,436001
793309,1,Pedestrian,Serious,53.80493591,-1.577047948,427851,434400
795809,2,Pedestrian,Slight,53.79899683,-1.541105994,430222,433754
797609,2,Pedestrian,Slight,53.81149975,-1.515725774,431884,435156
807909,1,Pedestrian,Slight,53.78188161,-1.550612056,429608,431846
812909,1,Pedestrian,Slight,53.82202445,-1.508722198,432337,436330
819209,1,Pedestrian,Slight,53.79884076,-1.540257386,430278,433737
822709,1,Pedestrian,Slight,53.81036282,-1.519125875,431661,435028
823909,1,Pedestrian,Slight,53.83797379,-1.638496032,423786,438053
825109,1,Pedestrian,Slight,53.81437788,-1.451378979,436118,435507
833809,1,Pedestrian,Slight,53.79563722,-1.539366259,430339,433381
838409,1,Pedestrian,Slight,53.78735737,-1.391906852,440059,432533
844009,1,Pedestrian,Slight,53.78089245,-1.557771301,429137,431733
846009,1,Pedestrian,Slight,53.81076673,-1.523480343,431374,435071
847809,1,Pedestrian,Slight,53.77136015,-1.368253654,441633,430767
848409,1,Pedestrian,Slight,53.84578581,-1.604484717,426019,438934
848809,1,Pedestrian,Slight,53.81300104,-1.515754037,431881,435323
860409,1,Pedestrian,Slight,53.81170761,-1.520477476,431571,435177
862209,1,Pedestrian,Slight,53.76762758,-1.362771541,441998,430355
863309,1,Pedestrian,Slight,53.80912225,-1.508022546,432393,434895
865309,1,Pedestrian,Slight,53.79622521,-1.533347267,430735,433449
875109,1,Pedestrian,Slight,53.87329012,-1.696404153,419959,441964
881209,1,Pedestrian,Serious,53.80877957,-1.5301703,430935,434847
890809,1,Pedestrian,Slight,53.79706794,-1.438455948,436984,433588
890909,1,Pedestrian,Slight,53.80954309,-1.624388063,424731,434895
891409,1,Pedestrian,Slight,53.81486626,-1.512421125,432099,435532
894209,1,Pedestrian,Slight,53.81648277,-1.457625199,435705,435738
895509,1,Pedestrian,Slight,53.76373117,-1.394948811,439881,429903
897609,3,Pedestrian,Serious,53.74575367,-1.575109973,428018,427817
900009,1,Pedestrian,Slight,53.82827294,-1.5360909,430531,437013
900509,1,Pedestrian,Slight,53.75799916,-1.657234693,422596,429150
902509,1,Pedestrian,Slight,53.72979732,-1.409473717,438955,426120
902809,1,Pedestrian,Slight,53.80709244,-1.446538266,436443,434699
909009,1,Pedestrian,Slight,53.74164311,-1.605948485,425987,427348
911409,1,Pedestrian,Slight,53.79941369,-1.549103595,429695,433797
913709,1,Pedestrian,Slight,53.84468188,-1.512150756,432094,438849
916009,1,Pedestrian,Serious,53.73861578,-1.531559682,430895,427041
916909,1,Pedestrian,Slight,53.86570713,-1.687334098,420559,441123
935409,1,Pedestrian,Slight,53.79935643,-1.543470824,430066,433793
937809,1,Pedestrian,Slight,53.80933699,-1.461742264,435440,434941
938109,1,Pedestrian,Slight,53.81716454,-1.507305534,432434,435790
938209,1,Pedestrian,Slight,53.79628213,-1.553008906,429440,433447
938409,1,Pedestrian,Slight,53.79939233,-1.543455249,430067,433797
938609,1,Pedestrian,Slight,53.82868924,-1.536815657,430483,437059
945309,1,Pedestrian,Slight,53.80986995,-1.605794922,425955,434938
947509,1,Pedestrian,Slight,53.84827387,-1.550342114,429579,439232
951609,1,Pedestrian,Slight,53.79925843,-1.507348421,432445,433798
952209,1,Pedestrian,Slight,53.8541502,-1.611399752,425559,439862
955509,1,Pedestrian,Slight,53.81569202,-1.51655848,431826,435622
957109,1,Pedestrian,Serious,53.85458214,-1.482888891,434011,439964
957209,1,Pedestrian,Slight,53.82143871,-1.576729849,427861,436236
957909,1,Pedestrian,Slight,53.79948207,-1.461109252,435490,433845
965209,1,Pedestrian,Serious,53.80564923,-1.567852884,428456,434483
965409,1,Pedestrian,Slight,53.90384805,-1.691159335,420289,445365
967009,1,Pedestrian,Slight,53.8415815,-1.599827674,426328,438468
967109,1,Pedestrian,Serious,53.80990575,-1.564179143,428695,434958
971109,2,Pedestrian,Slight,53.81434846,-1.559834358,428978,435454
972509,1,Pedestrian,Slight,53.80171355,-1.543991887,430030,434055
972909,1,Pedestrian,Serious,53.81755314,-1.514425522,431965,435830
974309,1,Pedestrian,Serious,53.80677807,-1.517359643,431780,434630
977209,1,Pedestrian,Slight,53.74977377,-1.555808042,429288,428272
979209,1,Pedestrian,Slight,53.80145838,-1.491697147,433474,434050
981909,1,Pedestrian,Slight,53.80361445,-1.611578659,425578,434240
986709,1,Pedestrian,Serious,53.75035409,-1.524315941,431364,428350
987909,1,Pedestrian,Slight,53.78982144,-1.667116125,421928,432687
991409,1,Pedestrian,Slight,53.82118552,-1.576307019,427889,436208
998609,1,Pedestrian,Slight,53.7994103,-1.543455054,430067,433799
1004909,1,Pedestrian,Slight,53.82038141,-1.487700551,433722,436157
1005509,1,Pedestrian,Slight,53.80300562,-1.61232838,425529,434172
1005609,1,Pedestrian,Slight,53.82809275,-1.545376866,429920,436989
1006609,1,Pedestrian,Slight,53.80875326,-1.53033766,430924,434844
1006909,1,Pedestrian,Serious,53.81028069,-1.583692167,427410,434992
1008709,4,Pedestrian,Slight,53.79831087,-1.508634981,432361,433692
1009109,1,Pedestrian,Slight,53.80870848,-1.465926951,435165,434869
1010409,1,Pedestrian,Slight,53.79160326,-1.576529276,427894,432917
1014809,1,Pedestrian,Slight,53.82256373,-1.454614461,435898,436416
1016409,1,Pedestrian,Slight,53.80752722,-1.550535265,429595,434699
1016909,1,Pedestrian,Slight,53.79673151,-1.538746932,430379,433503
1019409,1,Pedestrian,Slight,53.80614534,-1.54878838,429711,434546
1024609,1,Pedestrian,Slight,53.77600258,-1.543435957,430085,431195
1025209,1,Pedestrian,Slight,53.73748109,-1.611445729,425627,426883
1027209,1,Pedestrian,Serious,53.82384941,-1.462634991,435369,436555
1027309,1,Pedestrian,Serious,53.77019784,-1.548779427,429737,430547
1031809,1,Pedestrian,Serious,53.80516586,-1.563453794,428746,434431
1033409,1,Pedestrian,Slight,53.80693799,-1.576344379,427896,434623
1040809,1,Pedestrian,Slight,53.74456015,-1.599188141,426431,427675
1045309,1,Pedestrian,Slight,53.81162329,-1.51072724,432213,435172
1046209,1,Pedestrian,Serious,53.79945307,-1.550014235,429635,433801
