Col.Number,Reference.Number,Easting,Northing,Number.of.Vehicles,Number.of.Casualties,Accident.Date,Time..24hr.,X1st.Road.Class,Road.Surface,Lighting.Conditions,Weather.Conditions,Casualty.Class,Casualty.Severity,Sex.of.Casualty,Age.of.Casualty,Type.of.Vehicle
1035,373109,426736,433835,2,1,11-May-09,1500,3,1,1,1,1,3,1,12,1
1037,375909,426070,440082,2,1,11-May-09,1805,6,1,1,1,1,3,1,47,1
1044,377709,442182,430333,2,1,12-May-09,1730,6,1,1,1,1,3,1,17,1
1055,399809,429905,434282,2,1,14-May-09,1525,3,1,1,1,1,3,1,27,1
1089,389909,431928,432895,2,1,17-May-09,1505,6,2,1,1,1,3,1,16,1
1096,412009,428227,436523,2,1,18-May-09,1900,4,1,1,1,1,3,1,59,1
1119,405209,432823,435664,2,1,20-May-09,2023,6,1,1,1,1,3,1,9,1
1124,412509,428236,436521,2,1,21-May-09,1730,4,1,1,1,1,3,1,40,1
1154,409709,428118,435899,2,1,24-May-09,1230,3,1,1,1,1,3,1,43,1
1155,412809,428925,429829,2,1,24-May-09,1545,3,1,1,1,1,3,1,20,1
1164,416009,427225,429456,2,1,25-May-09,1323,6,1,1,1,1,2,1,10,1
1182,469809,428843,435545,3,1,28-May-09,1350,3,1,1,1,1,2,1,18,1
1183,536709,430660,433453,1,1,28-May-09,1545,6,1,1,1,3,3,2,18,1
1220,433709,430162,433766,1,2,02-Jun-09,1030,6,1,1,1,3,3,1,32,1
1221,433709,430162,433766,1,2,02-Jun-09,1030,6,1,1,1,1,3,1,26,1
1226,454709,420577,440162,2,1,02-Jun-09,1740,3,1,1,1,1,2,1,32,1
1231,446609,430063,433950,2,1,03-Jun-09,1206,6,1,1,1,1,3,1,33,1
1234,441009,429107,436249,2,1,04-Jun-09,920,6,1,1,1,1,3,1,51,1
1238,446209,429847,432998,2,1,04-Jun-09,1640,6,1,1,1,1,3,1,39,1
1239,572209,427599,436800,2,1,04-Jun-09,740,3,1,1,1,1,3,1,39,1
1241,444609,427780,434626,2,1,05-Jun-09,1305,6,1,1,1,1,3,1,11,1
1242,446509,427529,438624,2,1,05-Jun-09,835,6,1,1,1,1,3,1,26,1
1244,452209,435321,434812,2,1,05-Jun-09,1600,6,1,1,1,1,3,1,15,1
1278,466109,424609,435110,2,1,11-Jun-09,1740,3,1,1,1,1,3,1,10,1
1295,468609,420514,436541,2,1,13-Jun-09,1235,6,1,1,1,1,2,1,38,1
1297,472509,423132,428428,2,1,13-Jun-09,1313,6,1,1,1,1,3,1,9,1
1298,476109,432453,435205,2,1,13-Jun-09,1923,6,1,1,1,1,3,1,14,1
1306,476309,432408,439852,3,1,14-Jun-09,1205,6,1,1,1,1,3,2,53,1
1321,481509,428000,436009,2,1,16-Jun-09,1830,3,1,1,1,1,3,2,55,1
1322,482809,428413,437837,2,1,16-Jun-09,700,6,1,1,1,1,3,1,66,1
1327,484609,426578,427694,2,1,16-Jun-09,1900,6,1,1,1,1,3,1,40,1
1328,487109,433186,433968,2,1,16-Jun-09,2040,6,1,1,1,1,3,1,19,1
1333,487309,429816,434396,2,1,17-Jun-09,1545,3,1,1,1,1,3,1,18,1
1342,548709,426824,434970,2,1,18-Jun-09,815,3,1,1,1,1,3,2,53,1
1348,487809,430082,435418,2,1,19-Jun-09,2330,6,1,4,9,1,3,1,31,1
1353,494809,427708,434474,3,1,19-Jun-09,1035,3,1,1,1,1,2,1,23,1
1354,495909,418792,444757,2,1,19-Jun-09,1715,3,1,1,1,1,3,1,13,1
1366,495209,428275,434565,2,1,20-Jun-09,1150,6,2,1,2,1,3,1,22,1
1387,509809,440219,432994,2,1,23-Jun-09,1915,6,1,1,1,1,3,1,14,1
1388,519309,430963,435867,2,1,23-Jun-09,845,6,1,1,1,1,2,1,30,1
1393,517309,437486,431651,2,1,24-Jun-09,1330,6,1,1,1,1,3,1,17,1
1396,503309,422833,433543,1,2,25-Jun-09,755,4,1,1,1,1,3,1,31,1
1397,503309,422833,433543,1,2,25-Jun-09,755,4,1,1,1,3,3,1,14,1
1412,515409,423772,437592,2,2,26-Jun-09,1150,3,1,1,1,1,3,2,46,1
1424,518809,429165,430536,2,1,28-Jun-09,1700,6,1,1,1,1,3,1,10,1
