"","Column","X","Reference.Number","Easting","Northing","Number.of.Vehicles","Number.of.Casualties","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Weather.Conditions","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty","Type.of.Vehicle","Latitude","Longitude"
"2513",3117,3117,"110008116",429622,428098,2,1,"06-Jan-11",1825,6,"Wet / Damp","Darkness: street lights present and lit","Snowing without high winds","Driver or rider","Slight","Male",49,"Bicycle",53.7481908405,-1.55075933867
"2542",3157,3157,"110013331",429591,434714,2,1,"10-Jan-11",1400,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",21,"Bicycle",53.8076622831,-1.55059457003
"2547",3165,3165,"110015623",431887,435594,2,1,"05-Jan-11",1720,6,"Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Female",39,"Bicycle",53.815436602,-1.51563481991
"2552",3170,3170,"110017709",427893,434624,2,1,"13-Jan-11",755,6,"Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",26,"Bicycle",53.8069471408,-1.57638984832
"2556",3174,3174,"110018805",420539,440258,2,1,"13-Jan-11",1635,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",59,"Bicycle",53.8579326285,-1.68769616633
"2582",3212,3212,"110027443",433070,434009,2,1,"18-Jan-11",1700,3,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",18,"Bicycle",53.8011156859,-1.49783603065
"2583",3213,3213,"110028022",433906,434112,2,1,"19-Jan-11",755,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",58,"Bicycle",53.8019876958,-1.48513068716
"2588",3219,3219,"110030056",427812,434421,2,1,"20-Jan-11",850,3,"Frost / Ice","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",43,"Bicycle",53.8051267613,-1.57763829645
"2616",3264,3264,"110040606",426592,431736,2,1,"25-Jan-11",1815,3,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",19,"Bicycle",53.7810556498,-1.59639683833
"2632",3289,3289,"110045132",428717,435610,2,1,"28-Jan-11",1550,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",19,"Bicycle",53.8157651835,-1.56378416846
"2637",3296,3296,"110046553",429953,430857,2,1,"28-Jan-11",816,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",45,"Bicycle",53.7729719839,-1.54547191849
"2638",3297,3297,"110046569",430506,437060,2,1,"29-Jan-11",1225,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",28,"Bicycle",53.8286968773,-1.53646608947
"2652",3316,3316,"110050094",434804,428893,2,1,"31-Jan-11",1848,6,"Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",43,"Bicycle",53.7550165681,-1.47208409
"2656",3321,3321,"110051818",428581,434967,2,1,"01-Feb-11",1500,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",20,"Bicycle",53.8099929229,-1.5659096888
"2666",3335,3335,"110054435",424947,434437,2,1,"03-Feb-11",620,3,"Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Male",33,"Bicycle",53.8054158971,-1.62114467541
"2667",3336,3336,"110054653",424780,428805,2,1,"02-Feb-11",1750,3,"Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",37,"Bicycle",53.7547986995,-1.6241333994
"2671",3340,3340,"110055843",420935,439490,2,1,"03-Feb-11",1930,3,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",52,"Bicycle",53.8510134187,-1.68172730959
"2688",3364,3364,"110060472",430698,439043,2,1,"06-Feb-11",1716,3,"Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Male",49,"Bicycle",53.8465100739,-1.5333506597
"2707",3393,3393,"110068412",430016,435536,2,1,"11-Feb-11",715,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",39,"Bicycle",53.8150266448,-1.54406004316
"2710",3397,3397,"110069528",430061,433649,2,1,"08-Feb-11",1153,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",22,"Bicycle",53.7980623404,-1.54356079799
"2724",3416,3416,"110073046",430803,435338,2,2,"14-Feb-11",840,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",31,"Bicycle",53.8132008527,-1.53212584958
"2728",3422,3422,"110074083",430949,433299,2,1,"14-Feb-11",1620,3,"Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",50,"Bicycle",53.7948642207,-1.53011327337
"2729",3423,3423,"110074089",437150,433502,2,1,"14-Feb-11",1720,3,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",36,"Bicycle",53.796283092,-1.43594600485
"2731",3425,3425,"110074364",431172,440727,2,1,"14-Feb-11",2105,3,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",42,"Bicycle",53.861618676,-1.52597449558
"2739",3434,3434,"110076014",428089,435419,2,1,"15-Feb-11",1825,6,"Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Male",25,"Bicycle",53.8140826437,-1.57334073198
"2747",3443,3443,"110077782",427926,436148,2,1,"16-Feb-11",1445,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Female",28,"Bicycle",53.8206442138,-1.57575037551
"2761",3461,3461,"110084342",426986,429366,2,1,"21-Feb-11",645,3,"Wet / Damp","Darkness: street lights present and lit","Other","Driver or rider","Slight","Male",24,"Bicycle",53.7597318587,-1.59062434129
"2779",3489,3489,"110091207",441162,448828,2,1,"24-Feb-11",1745,3,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Serious","Male",35,"Bicycle",53.9337369895,-1.37297841442
"2781",3491,3491,"110092631",426478,438024,2,1,"25-Feb-11",1610,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",57,"Bicycle",53.8375828746,-1.59758607885
"2793",3507,3507,"110097445",427263,429568,2,1,"28-Feb-11",1800,3,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Serious","Male",28,"Bicycle",53.7615331808,-1.58640455044
"2795",3509,3509,"110098163",430874,434252,2,1,"01-Mar-11",930,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",37,"Bicycle",53.8034349174,-1.53115638724
"2799",3515,3515,"110098914",429518,434857,2,1,"01-Mar-11",1235,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",34,"Bicycle",53.808951819,-1.55168948668
"2808",3526,3526,"110102104",419508,445039,2,1,"02-Mar-11",1530,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",34,"Bicycle",53.9009477076,-1.7030683751
"2819",3539,3539,"110106457",430493,425015,2,1,"05-Mar-11",1835,3,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Serious","Male",49,"Bicycle",53.7204280879,-1.53785448427
"2835",3563,3563,"110112851",427912,433638,2,1,"09-Mar-11",1645,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",28,"Bicycle",53.7980832039,-1.57619068799
"2845",3578,3578,"110116588",424776,428060,2,1,"10-Mar-11",815,6,"Wet / Damp","Daylight: street lights present","Fine with high winds","Driver or rider","Slight","Male",41,"Bicycle",53.748102167,-1.62425383447
"2872",3615,3615,"110125803",428061,435957,2,1,"03-Mar-11",900,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",31,"Bicycle",53.8189200957,-1.57371695358
"2889",3640,3640,"110130536",431231,433766,2,1,"19-Mar-11",1130,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",48,"Bicycle",53.7990450957,-1.52578458417
"2902",3660,3660,"110134140",429956,433158,2,1,"21-Mar-11",700,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",33,"Bicycle",53.7936549293,-1.54520278872
"2910",3671,3671,"110137056",427646,431150,2,1,"24-Mar-11",809,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",38,"Bicycle",53.7757333022,-1.58045263406
"2914",3675,3675,"110138330",430789,433472,2,1,"24-Mar-11",1700,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",44,"Bicycle",53.7964287616,-1.53252511018
"2926",3691,3691,"110140978",428061,435956,2,1,"25-Mar-11",2020,3,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",22,"Bicycle",53.818911107,-1.57371704481
"2928",3694,3694,"110141076",431252,445730,2,1,"26-Mar-11",1015,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",41,"Bicycle",53.9065837004,-1.52424768609
"2935",3701,3701,"110144131",430082,431272,2,1,"28-Mar-11",1304,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",25,"Bicycle",53.7766948837,-1.5434739713
"2940",3708,3708,"110146261",428579,434968,2,1,"29-Mar-11",1500,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",20,"Bicycle",53.8100020216,-1.56593997113
"2947",3716,3716,"110147588",427945,436112,2,1,"30-Mar-11",1345,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",51,"Bicycle",53.8203195983,-1.5754650086
"2962",3732,3732,"110153576",431349,435059,2,1,"02-Apr-11",1645,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Female",37,"Bicycle",53.8106603771,-1.52386125994
"2966",3737,3737,"110155557",429664,427888,2,1,"03-Apr-11",1600,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",17,"Bicycle",53.7463008011,-1.55014256222
"2969",3741,3741,"110158220",425411,440051,2,1,"05-Apr-11",1530,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",52,"Bicycle",53.8558563306,-1.61363424641
"2973",3750,3750,"110159147",424432,438642,2,1,"06-Apr-11",855,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",45,"Bicycle",53.8432381846,-1.62863138498
"2979",3762,3762,"110161034",418117,442482,2,1,"07-Apr-11",915,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",37,"Bicycle",53.8780139094,-1.724391779
"2980",3763,3763,"110161875",433298,436234,2,1,"06-Apr-11",1730,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",32,"Bicycle",53.8211008713,-1.49413327892
"2981",3764,3764,"110161889",436109,434833,2,1,"07-Apr-11",1650,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",31,"Bicycle",53.8083202036,-1.45159476452
"2982",3765,3765,"110162112",440460,428794,2,1,"07-Apr-11",1714,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",9,"Bicycle",53.7537182051,-1.38631045587
"2986",3770,3770,"110163658",433181,433165,2,1,"08-Apr-11",1350,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",14,"Bicycle",53.7935221829,-1.49624150571
"2987",3771,3771,"110163695",425344,443241,2,1,"08-Apr-11",1620,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",18,"Bicycle",53.884533562,-1.61438928169
"2995",3785,3785,"110166442",432434,435148,2,1,"10-Apr-11",1648,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",7,"Bicycle",53.811393824,-1.50737320911
"2996",3786,3786,"110166461",420520,445026,2,1,"27-Mar-11",1000,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",40,"Bicycle",53.9007917747,-1.68766582222
"3007",3809,3809,"110168779",429033,431918,2,1,"11-Apr-11",2100,6,"Dry","Darkness: street lighting unknown","Fine with high winds","Driver or rider","Slight","Male",31,"Bicycle",53.7825611862,-1.55933229383
"3013",3816,3816,"110170224",427527,436943,2,1,"12-Apr-11",1730,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",28,"Bicycle",53.8278115402,-1.58174060541
"3046",3869,3869,"110179478",422884,438849,1,1,"17-Apr-11",1640,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",11,"Bicycle",53.8451693749,-1.65214520779
"3050",3874,3874,"110180338",431884,438784,2,1,"17-Apr-11",1745,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",16,"Bicycle",53.8441105593,-1.51534951135
"3052",3876,3876,"110181755",426721,431757,2,1,"18-Apr-11",1100,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",25,"Bicycle",53.781237809,-1.59443715963
"3054",3878,3878,"110181969",435464,433397,2,1,"19-Apr-11",1455,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",13,"Bicycle",53.7954569459,-1.46155560903
"3057",3883,3883,"110182843",429668,433953,2,1,"20-Apr-11",810,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",37,"Bicycle",53.8008174759,-1.54949852705
"3064",3893,3893,"110185900",424848,438291,2,1,"21-Apr-11",1810,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",7,"Bicycle",53.8400633968,-1.62233669056
"3066",3896,3896,"110186028",427464,433763,2,1,"21-Apr-11",1745,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",31,"Bicycle",53.7992306445,-1.58298166858
"3074",3917,3917,"110188918",435173,437629,2,1,"23-Apr-11",1205,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",13,"Bicycle",53.8335164432,-1.4654898147
"3088",3935,3935,"110193904",436180,434460,2,1,"27-Apr-11",1640,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",48,"Bicycle",53.8049625261,-1.45056034719
"3092",3940,3940,"110194994",434071,432982,2,1,"27-Apr-11",1815,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",11,"Bicycle",53.7918197419,-1.48275023998
"3108",3957,3957,"110200376",423809,439245,2,1,"02-May-11",1250,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",28,"Bicycle",53.8486873409,-1.63805407991
"3112",3961,3961,"110201968",430305,427707,2,1,"03-May-11",1823,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",7,"Bicycle",53.744636952,-1.5404398292
"3119",3975,3975,"110203778",431321,435042,2,1,"04-May-11",1745,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",34,"Bicycle",53.8105092568,-1.52428824699
"3120",3976,3976,"110203821",422375,442293,2,1,"04-May-11",1743,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",36,"Bicycle",53.8761488444,-1.65963110115
"3128",3987,3987,"110205687",431076,431205,2,1,"05-May-11",1815,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",35,"Bicycle",53.7760342563,-1.52839627974
"3137",4002,4002,"110207518",442999,431610,2,1,"06-May-11",1815,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",45,"Bicycle",53.778826426,-1.34740965933
"3140",4006,4006,"110208142",428097,434516,2,1,"07-May-11",825,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",47,"Bicycle",53.8059653743,-1.57330165845
"3151",4027,4027,"110213382",428795,435573,2,1,"10-May-11",900,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",28,"Bicycle",53.8154282864,-1.56260283693
"3152",4028,4028,"110213622",430863,436299,2,1,"10-May-11",830,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Female",31,"Bicycle",53.8218354185,-1.53111811407
"3159",4035,4035,"110214246",428405,434380,2,1,"10-May-11",2040,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",19,"Bicycle",53.8047261739,-1.56863687467
"3160",4036,4036,"110214353",429266,432797,2,1,"11-May-11",810,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",59,"Bicycle",53.790449258,-1.55571242939
"3161",4037,4037,"110214490",430700,436765,2,1,"11-May-11",805,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",47,"Bicycle",53.8260337945,-1.53354785483
"3173",4055,4055,"110219717",434830,437970,2,1,"13-May-11",725,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",30,"Bicycle",53.8366046538,-1.47066335399
"3180",4063,4063,"110221011",429781,438888,2,1,"14-May-11",1425,3,"Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",39,"Bicycle",53.8451702285,-1.54730479129
"3191",4079,4079,"110226291",428103,435923,2,1,"18-May-11",915,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",48,"Bicycle",53.81861221,-1.57308204483
"3194",4082,4082,"110226522",426946,432113,2,1,"17-May-11",1800,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",13,"Bicycle",53.7844262257,-1.59099115816
"3200",4090,4090,"110228235",430417,437824,2,1,"19-May-11",805,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",47,"Bicycle",53.8355694376,-1.53774277279
"3217",4112,4112,"110234320",427303,431076,2,1,"23-May-11",826,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",43,"Bicycle",53.7750862301,-1.58566429911
"3220",4117,4117,"110235347",434985,436591,2,1,"23-May-11",1655,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",15,"Bicycle",53.8241989909,-1.46846476984
"3222",4119,4119,"110236059",428304,434109,2,1,"23-May-11",1815,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",27,"Bicycle",53.8022957285,-1.57019554346
"3226",4123,4123,"110237146",434542,428013,2,1,"24-May-11",1510,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",13,"Bicycle",53.7471239403,-1.47615640592
"3227",4124,4124,"110237250",441016,428494,2,1,"24-May-11",1833,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",8,"Bicycle",53.750978171,-1.37791754011
"3231",4131,4131,"110237710",429698,433797,2,1,"24-May-11",850,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",23,"Bicycle",53.799413522,-1.54905804426
"3235",4136,4136,"110239166",428380,436739,2,1,"23-May-11",2205,4,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",25,"Bicycle",53.8259319583,-1.56879891387
"3238",4139,4139,"110240783",435008,429011,2,1,"24-May-11",1900,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",16,"Bicycle",53.7560635672,-1.46897653361
"3241",4142,4142,"110241550",431063,430390,2,1,"27-May-11",603,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",53,"Bicycle",53.7687092032,-1.52867563086
"3256",4169,4169,"110248587",428913,435504,2,1,"31-May-11",1810,3,"Frost / Ice","Daylight: street lights present","Fine with high winds","Driver or rider","Slight","Female",24,"Bicycle",53.8148015156,-1.56081695453
"3257",4170,4170,"110248747",427788,436375,2,1,"18-May-11",1530,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",26,"Bicycle",53.8226920519,-1.57782628754
"3264",4181,4181,"110250617",429255,434610,2,1,"01-Jun-11",1510,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",21,"Bicycle",53.8067464654,-1.55570719486
"3265",4182,4182,"110251359",429163,432178,2,1,"01-Jun-11",1515,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",32,"Bicycle",53.7848909982,-1.55733459878
"3266",4183,4183,"110251448",428147,435835,3,1,"02-Jun-11",1625,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",35,"Bicycle",53.817818821,-1.57242170527
"3270",4187,4187,"110253107",424269,438225,2,1,"01-Jun-11",1920,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",14,"Bicycle",53.8394975133,-1.63114188853
"3274",4192,4192,"110253401",422103,432443,2,1,"03-Jun-11",1555,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",25,"Bicycle",53.7876207508,-1.66447704195
"3275",4193,4193,"110253402",428950,435467,3,1,"03-Jun-11",2000,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",22,"Bicycle",53.8144668739,-1.56025843111
"3283",4203,4203,"110254228",430724,435818,2,1,"04-Jun-11",1239,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",9,"Bicycle",53.8175200974,-1.53327782156
"3290",4210,4210,"110255702",430261,433537,1,1,"31-May-11",1437,6,"Dry","Daylight: street lights present","Fine without high winds","Pedestrian","Serious","Female",33,"Bicycle",53.797044008,-1.54053515613
"3292",4212,4212,"110256030",419482,445046,2,1,"05-Jun-11",1520,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",34,"Bicycle",53.9010116067,-1.70346367016
"3294",4214,4214,"110256197",433015,435778,2,1,"05-Jun-11",1635,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",13,"Bicycle",53.8170201049,-1.49848140632
"3301",4224,4224,"110258041",440960,428496,2,1,"06-Jun-11",1550,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",15,"Bicycle",53.7510005526,-1.37876656204
"3310",4236,4236,"110260889",431892,434912,3,1,"03-Jun-11",2022,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",15,"Bicycle",53.8093060225,-1.51562955527
"3321",4254,4254,"110265146",427661,438581,1,1,"12-May-11",700,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",37,"Bicycle",53.8425279401,-1.57955715671
"3339",4288,4288,"110271627",428528,434274,2,1,"14-Jun-11",1830,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",35,"Bicycle",53.8037666347,-1.56677885685
"3346",4299,4299,"110275166",424186,438890,2,1,"16-Jun-11",1520,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",25,"Bicycle",53.8454789106,-1.63235099201
"3349",4306,4306,"110275460",427407,435127,2,1,"16-Jun-11",615,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",15,"Bicycle",53.8114943256,-1.58372570787
"3351",4308,4308,"110276069",429040,434548,2,1,"16-Jun-11",755,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",50,"Bicycle",53.8062012138,-1.55897812075
"3353",4310,4310,"110276585",430758,436692,2,1,"17-Jun-11",1055,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",32,"Bicycle",53.8253741919,-1.53267394459
"3366",4326,4326,"110278625",429773,438901,1,1,"18-Jun-11",1825,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",40,"Bicycle",53.8452875398,-1.54742513325
"3396",4367,4367,"110287079",433896,436546,2,1,"23-Jun-11",1620,3,"Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Male",43,"Bicycle",53.8238666666,-1.48501441206
"3399",4370,4370,"110287631",425978,437509,2,1,"24-Jun-11",825,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",15,"Bicycle",53.8329789162,-1.60522843962
"3414",4389,4389,"110291488",432539,434257,2,1,"26-Jun-11",1824,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",52,"Bicycle",53.803378364,-1.50587266063
"3416",4391,4391,"110292217",427798,434674,2,1,"27-Jun-11",805,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",22,"Bicycle",53.8074016651,-1.57782805187
"3423",4401,4401,"110293941",428422,440959,2,1,"28-Jun-11",706,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",57,"Bicycle",53.8638619215,-1.56777025082
"3428",4407,4407,"110294521",427570,436875,3,1,"28-Jun-11",800,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",31,"Bicycle",53.8271980271,-1.58109335855
"3439",4422,4422,"110297826",431606,434024,2,1,"30-Jun-11",835,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",25,"Bicycle",53.8013415304,-1.52006427597
"3440",4423,4423,"110298179",427483,432590,2,1,"29-Jun-11",715,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",35,"Bicycle",53.7886858014,-1.58279782462
"3453",4440,4440,"110301301",428062,435959,3,1,"01-Jul-11",1950,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",29,"Bicycle",53.8189380192,-1.57370158028
"3461",4449,4449,"110304337",429414,433467,2,1,"04-Jul-11",845,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",28,"Bicycle",53.7964633736,-1.55340174365
"3464",4452,4452,"110306735",432513,427315,2,1,"05-Jul-11",1445,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",12,"Bicycle",53.7409803073,-1.50699917599
"3469",4460,4460,"110308516",427657,436653,2,1,"06-Jul-11",1705,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",46,"Bicycle",53.8251979065,-1.57979146376
"3472",4463,4463,"110309747",419623,446209,2,1,"02-Jul-11",1400,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Female",32,"Bicycle",53.9114601783,-1.70124294934
"3486",4487,4487,"110313186",426541,428984,2,1,"08-Jul-11",1300,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",38,"Bicycle",53.756320979,-1.59740761403
"3487",4488,4488,"110313380",430105,431747,2,1,"08-Jul-11",1420,3,"Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",32,"Bicycle",53.7809632133,-1.54307855757
"3491",4492,4492,"110315934",429660,434599,2,1,"11-Jul-11",855,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",25,"Bicycle",53.8066246494,-1.54955776754
"3492",4493,4493,"110316131",426985,433110,1,2,"11-Jul-11",1048,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",26,"Bicycle",53.7933860356,-1.59031189311
"3495",4497,4497,"110317423",420767,434473,2,1,"11-Jul-11",2050,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",9,"Bicycle",53.805923201,-1.68462026724
"3497",4501,4501,"110318530",441060,432037,2,1,"11-Jul-11",720,3,"Dry","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Male",39,"Bicycle",53.7828210607,-1.37677878557
"3503",4508,4508,"110320841",434167,433885,2,1,"13-Jul-11",1735,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",29,"Bicycle",53.7999301959,-1.48119271601
"3508",4517,4517,"110322900",430572,434528,2,1,"14-Jul-11",1845,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",21,"Bicycle",53.8059336393,-1.53571489698
