Reference Number,Crossing Type,Street Name,Easting,Northing,Postcode
151L,Junction Crossing,DUNCAN ST  /  CALL LN  /  NEW MARKET ST,430357,433403,LS1 7BR
133L,Junction Crossing,HEADROW / OXFORD PLACE / PARK SQUARE,429687,433808,LS1 3AX
137L,Junction Crossing,VICAR LANE / KIRKGATE / NEW MARKET STREET,430371,433505,LS1 6DS
139L,Junction Crossing,EASTGATE / REGENT STREET,430678,433717,LS9 7QX
141L,Junction Crossing,EASTGATE / ST PETERS STREET /  BUS STATION,430671,433634,LS2 7HX
143L,Junction Crossing,WESTGATE SLIP/ PARK LANE,429387,433788,LS1 2RS
144L,Junction Crossing,VICAR LANE / SIDNEY STREET / COUNTY ARCADE,430395,433643,LS1 6BA
175L,Junction Crossing,MEADOW ROAD / SWEET STREET / SWEET STREET BUS GATE,429930,432512,LS11 9AT
147L,Junction Crossing,WELLINGTON ST  /  WELLINGTON RD  /  YORKSHIRE POST,429054,433511,LS3 1LE
148L,Junction Crossing,WELLINGTON STREET  /  WELLINGTON ROAD SLIP / TGI FRIDAYS,429002,433546,LS3 1LE
166L,Junction Crossing,WESTGATE POINT / PARK LN / WESTGATE SLIP RD / I.R.R,429534,433810,LS1 2RA
168L,Junction Crossing,YORK ST / QUARRY HILL  ACCESS / STAGE 5 / STAINBURN SQ,430901,433502,LS2 7UP
169L,Junction Crossing,YORK STREET / MARSH LANE / STAGE 5,431023,433515,LS9 8UD
170L,Junction Crossing,MARSH LN / LINK RD,431120,433646,LS9 8SR
431L,Junction Crossing,SCOTT HALL ROAD / POTTERNEWTON LANE,429967,436658,LS7 4RA
432L,Junction Crossing,A6120 / RING RD  / WEETWOOD  LN  / LONG CAUSEWAY,427508,438620,LS16 5PT
434L,Junction Crossing,A6120 / SHADWELL LANE / MOORTOWN,431173,439323,LS17 8AA
437L,Junction Crossing,CLAYPIT LANE / MEANWOOD ROAD,430641,434627,LS7 2AA
438L,Junction Crossing,MEANWOOD ROAD / SACKVILLE STREET,430367,434971,LS7 1SW
439L,Junction Crossing,NORTH STREET / BREAKWATER PASSAGE,430655,434570,LS7 1DA
172L,Junction Crossing,MARSH LANE / BURMANTOFTS ST / STAGE 5,431140,433703,LS2 7UP
173L,Junction Crossing,MARSH LANE / YORK ROAD SLIP ROAD OFF,431209,433655,LS9 8SS
174L,Junction Crossing,MARSH LANE / SHANNON STREET,431133,433635,LS9 8SR
177L,Junction Crossing,PARK ROW / INFIRMARY STREET,429907,433475,LS1 5JL
181L,Junction Crossing,THE CALLS / CALL LANE,430332,433283,LS1 6LY
182L,Junction Crossing,MARSH LANE / MILL STREET / BRICK STREET,430877,433344,LS9 8PA
340L,Junction Crossing,"A6120 / RING ROAD / SPEN LANE, WEST PARK",426355,438098,LS16 6JQ
484L,Junction Crossing,STAINBECK ROAD / STAINBECK LANE / CARR MANOR SCHOOL,429415,437316,LS7 2PR
260L,Junction Crossing,WATER LANE / BRIDGEWATER PLACE,429762,432933,LS11 5QN
673L,Junction Crossing,HUNSLET DISTRIBUTOR / JACK LANE (IRR7 J4) - Scheme Number 257058,430742,431932,LS10 1BW
261L,Junction Crossing,WELLINGTON ROAD / BRUCE GARDENS,428405,432925,LS12 1YA
729L,Junction Crossing,"TOWN STREET / WESLEY STREET, BEESTON",428664,430781,LS11 8PN
860L,Junction Crossing,BOROUGHGATE / CROSSGATE / WESLEY ST/  POOL ROAD,420339,445543,LS21 1AG
866L,Junction Crossing,"A65, NUNROYD MILLS / LEEDS ROAD / WEST SIDE RETAIL PARK",419556,441575,LS20 9LT
867L,Junction Crossing,A65 / OTLEY ROAD / PARK ROAD,419245,441793,LS20 8AH
371L,Junction Crossing,A660 OTLEY ROAD / THORNBURY AVENUE (filter beds),427195,437300,LS16 5RS
956L,Junction Crossing,A650 WAKEFIELD ROAD/ TURNBERRY PARK ROAD,424632,427969,LS27 7LE
958L,Junction Crossing,A6120 OUTER RING ROAD / AUSTHORPE ROAD,436171,434752,LS15 8QR
560L,Junction Crossing,YORK ROAD / LUPTON AVENUE SLIP ROAD,432147,433618,LS9 7RD
561L,Junction Crossing,YORK ROAD / TORRE ROAD,432501,433782,LS9 6TA
562L,Junction Crossing,YORK ROAD / WHITE HORSE PUBLIC HOUSE,432683,433877,LS9 6TA
563L,Junction Crossing,SELBY ROAD / TEMPLE NEWSAM ROAD,434787,433471,LS15 0EB
567L,Junction Crossing,BARWICK ROAD / CHURCH LANE / EASTWOOD LANE,436551,435591,LS14 5HL
152L,Junction Crossing,BRIGGATE / SWINEGATE / THE CALLS / BRIDGE END,430241,433208,LS1 4ra
153L,Junction Crossing,BRIGGATE / BOAR LANE / DUNCAN STREET,430242,433407,LS1 6BR
959L,Junction Crossing,A6120 / ORR / COLTON ROUNDABOUT/BUS GATE,436961,433590,LS15 9DB
155L,Junction Crossing,BISHOPGATE STREET / SWINEGATE / DARK ARCHES,429987,433297,LS1 5DY
568L,Junction Crossing,HAREHILLS LANE / DARFIELD ROAD (MORRISONS),432161,435245,LS8 5HP
157L,Junction Crossing,WELLINGTON STREET / LISBON STREET,429269,433502,LS1 4DL
158L,Junction Crossing,KIRKGATE LOOP / ST PETERS CHURCH / JUNCTION H,430770,433352,LS2 7DJ
159L,Junction Crossing,WHITEHALL RD / NORTHERN ST,429502,433330,LS1 4DL
160L,Junction Crossing,MEADOW LANE / GREAT WILSON  ST,430131,432843,LS11 5DZ
162L,Junction Crossing,MEADOW ROAD / SWEET STREET / DEWSBURY ROAD,430016,432502,LS11 5DQ
400L,Junction Crossing,ROSEVILLE ROAD / BAYSWATER ROAD,431379,435022,LS8 5NA
401L,Junction Crossing,SHEEPSCAR STREET  NORTH / SACKVILLE STREET,430545,435132,LS7 2BH
402L,Junction Crossing,MEANWOOD ROAD / GROVE LANE / STAINBECK ROAD / MEANWOOD HOTEL,428857,436571,LS7 2JT
406L,Junction Crossing,BECKETT STREET / LINCOLN GREEN RD /  ACCOMODATION RD,431405,434100,LS9 7SR
409L,Junction Crossing,ROUNDHAY ROAD / WETHERBY ROAD / OAKWOOD CLOCK,432667,436897,LS8 2JH
565L,Junction Crossing,YORK RD / MELBOURNE ROUNDABOUT/CONTROLLER 1,435296,434848,LS14 6NW
163L,Junction Crossing,JACK LN / DEWSBURY RD / S.W MOTORWAY SLIP RD,429863,432299,LS11 9NP
164L,Junction Crossing,VICTORIA RD / GREAT WILSON ST,429935,432914,LS11 5AD
165L,Junction Crossing,NEVILLE ST /  SOVEREIGN ST / HILTON INTERNATIONAL,429960,433082,LS1 4DW
413L,Junction Crossing,REGENT ST / SKINNER LANE,430856,434270,LS2 7QN
414L,Junction Crossing,CHAPELTOWN ROAD / BARRACK ROAD,430713,435015,LS7 3JB
416L,Junction Crossing,ROUNDHAY ROAD / ROSEVILLE ROAD,431472,435121,LS8 5AQ
112L,Junction Crossing,NEW BRIGGATE / MERRION STREET,430333,433886,LS1 6NU
230L,Junction Crossing,TONG ROAD / BUTT LANE,425006,432903,LS12 5AY
784L,Junction Crossing,A62 GELDERD ROAD / TREEFIELD INDUSTRIAL ESTATE,424477,428527,LS27 7JP
114L,Junction Crossing,KING ST  / ST PAULS ST  / EAST PARADE / INFIRMARY ST,429775,433598,LS1 2JP
116L,Junction Crossing,BOAR LANE / ALBION STREET / NEW STATION STREET / MILL HILL,430080,433376,LS1 5ER
117L,Junction Crossing,QUEBEC STREET / CITY SQUARE / WELLINGTON STREET,429834,433436,LS1 2HA
118L,Junction Crossing,WELLINGTON STREET / THIRSK ROW,429691,433436,LS1 4DL
119L,Junction Crossing,BOAR LN  / BISHOPGATE / CITY SQUARE / QUEENS HOTEL,429932,433381,LS1 5DY
120L,Junction Crossing,KING STREET / QUEBEC STREET,429721,433539,LS1 2HQ
121L,Junction Crossing,CLAYPIT LANE / INNER RING ROAD SLIP /,430175,434335,LS2 8NQ
