Reference Number,Crossing Type,Street Name,Easting,Northing,Postcode
920L,Junction Crossing,A58 EASTERLEY ROAD / WETHERBY ROAD / BOGGART HILL,434194,436991,LS8 2ND
923L,Junction Crossing,A58 WETHERBY ROAD / KESWICK LANE / RIGTON BANK,436853,443870,LS17 9AU
522L,Junction Crossing,A63 / SELBY ROAD / DUNHILL RISE,434163,433901,LS9 0EB
528L,Junction Crossing,A63 / SELBY ROAD / HOLYSHAW LANE / COLTON ROAD,436366,433653,LS15 7AX
532L,Junction Crossing,A63 / SELBY RD / CARDEN  AV / LUCY AV,434475,433701,LS15 7JL
540L,Junction Crossing,A63 / SELBY ROAD / PRIMROSE LANE,434905,433433,LS15 0DP
542L,Junction Crossing,A64 / YORK RD / KILLINGBECK SCIENCE PARK / SUTTON APP,434434,434411,LS14 6UF
543L,Junction Crossing,A64 / A63 / YORK ROAD / SELBY ROAD / HALTON DIAL,433898,434073,LS9 0HJ
545L,Junction Crossing,A64 / YORK ROAD / ROOKWOOD AVENUE,433701,434037,LS9 0HH
546L,Junction Crossing,A63 / SELBY ROAD SHUTTLE,433931,434027,LS9 0HJ
566L,Junction Crossing,YORK RD / MELBOURNE ROUNDABOUT/ CONTROLLER 2,435292,434850,LS14 6BW
559L,Junction Crossing,A64 / YORK ROAD / SEACROFT AVENUE / YORKDALE / MOWBERY,435765,436232,LS14 6LN
605L,Junction Crossing,CHURCH STRET / BALM ROAD / TATES MOTORS,431069,431359,LS10 2QY
606L,Junction Crossing,CHURCH STREET / LOW ROAD /  REGAL MOTORS,431396,431622,LS10 1QR
608L,Junction Crossing,HUNSLET ROAD / BLACK BULL ST / /ALF COOKES,430614,432667,LS10 1HD
609L,Junction Crossing,HUNSLET ROAD / SOUTH ACCOMODATION ROAD,430911,432315,LS10 JXT
610L,Junction Crossing,HUNSLET ROAD / HUNSLET DISTRIBUTOR,431016,432086,LS10 1NZ
617L,Junction Crossing,THWAITE GATE / SUSSEX AVENUE / PUNCH CLOCK,431967,431215,LS10 2LF
619L,Junction Crossing,HUNSLET LANE /  BUTTERLEY STREET,430547,432708,LS10 1HD
620L,Junction Crossing,HUNSLET LN /CROWN POINT ROAD/JUNCTION STREET (RETAIL PARK),430430,432794,LS10 1EL
622L,Junction Crossing,LEEDS ROAD / PONTEFRACT ROAD / STYEBANK LANE,434830,429072,LS26 0JZ
625L,Junction Crossing,HUNSLET ROAD / LEATHLEY ROAD / WALLACE ARNOLDS/Sayner Road,430699,432494,LS10 1JY
626L,Junction Crossing,CROWN POINT ROAD / BOWMAN LANE / CLARENCE ROAD,430694,433039,LS10 1HU
627L,Junction Crossing,CROWN POINT ROAD /  EAST STREET,430825,433261,LS9 8PA
231L,Pedestrian Crossing,A6110 Wortley Ring Road/Low Mills Road,426486,431861,LS12 5PS
232L,Pedestrian Crossing,Whitehall Road/Ringways Roundabout,426521,431721,LS12 6LB
270L,Pedestrian Crossing,"CLARENDON ROAD / WOODSLEY ROAD, LEEDS",429029,434540,LS2 9LZ
492L,Pedestrian Crossing,CHAPELTOWN ROAD/CHAPEL ALLERTON HOSPITAL,430899,436412,LS7 4HZ
489L,Pedestrian Crossing,A6120 RING ROAD/A61 MOORTOWN ROUNDABOUT DUAL PED,430794,439213,LS17 8BY
491L,Pedestrian Crossing,CHAPELTOWN ROAD/NEWTON PARADE,430894,436154,LS7 3SB
508L,Pedestrian Crossing,HAREHILLS LANE / KIMBERLEY ROAD,432651,434574,LS9 6LZ
895L,Pedestrian Crossing,A65 OTLEY ROAD / BACK LANE,418450,442298,LS20 8DA
896L,Pedestrian Crossing,A65 OTLEY ROAD / MORTON TERRACE,418640,442195,LS20 8BU
391L,Pedestrian Crossing,COMMERCIAL ROAD NEAR GILBERT MOUNT PLUS BUS GATE,426490,435235,LS5 3AA
389L,Pedestrian Crossing,CARDIGAN ROAD/NEWPORT ROAD TOUCAN,427981,435297,LS6 3BJ
494L,Pedestrian Crossing,EASTERLY ROAD/ASKET HILL,434002,436579,LS14 1HY
495L,Pedestrian Crossing,Harrogate Road / Falkland Mount,430482,438107,LS17 6TU
965L,Pedestrian Crossing,Leeds Road / Brexdale Avenue / North Kippax Primary School,440910,431410,LS25 7EL
233L,Pedestrian Crossing,Tong Road / St Mary's Close,427918,432886,LS12 1HP
683L,Pedestrian Crossing,Aberford Road / Quarry Hill / Woodlesford,436372,428353,LS26 8HP
732L,Pedestrian Crossing,Elland Road / Old Road,427700,429962,LS11 0HT
234L,Pedestrian Crossing,A65 WEST STREET NEAR MARLBOROUGH STREET,429074,433675,LS1 4PL
795L,Pedestrian Crossing,A650 BRITANNIA ROAD/SPENSLEA GROVE,426504,426721,LS27 0DY
733L,Pedestrian Crossing,RING ROAD MIDDLETON near SANDERLING WAY,430874,428217,LS10 3UH
352L,Pedestrian Crossing,KIRKSTALL ROAD NEAR BURLEY WOOD MOUNT,426812,434992,LS5 3AA
966L,Pedestrian Crossing,"BARWICK ROAD, STANKS BRIDGE NEAR SMEATON APPROACH",437233,435742,LS15 8TT
734L,Pedestrian Crossing,BELLE ISLE ROAD/ABERFIELD GATE,431292,429046,LS10 3PL
496L,Pedestrian Crossing,Wetherby Road near Elmete Lane. Roundhay,433781,437147,LS8 2LF
578L,Pedestrian Crossing,SOUTH PARKWAY / IRONWOOD VIEW,435075,435615,LS14 6EW
497L,Pedestrian Crossing,SCOTT HALL ROAD NEAR SCOTT HALL GROVE,430153,436281,LS7 3JS
736L,Pedestrian Crossing,ST GEORGES ROAD / MIDDLETON DISRICT CENTRE,431018,428144,LS10 4SW
737L,Pedestrian Crossing,ST GEORGES ROAD / ST GEORGE'S CENTRE,431010,428064,LS10 4SL
498L,Pedestrian Crossing,ROUNDHAY ROAD/BAYSWATER CRESCENT,431566,435195,LS8 5AJ
899L,Pedestrian Crossing,"HARROGATE ROAD NEAR CANADA ROAD, RAWDON",421172,440188,LS19 6LY
735L,Pedestrian Crossing,"RING ROAD MIDDLETON / SHARP LANE - ROUNDABOUT, LEEDS",431045,428304,LS10 4SN
581L,Pedestrian Crossing,A64 YORK ROAD/SLEDMERE LANE/BAILDON DRIVE,436189,436824,LS145DR
937L,Pedestrian Crossing,"CROSS GREEN - POOL ROAD NEAR DENNISON HILL, OTLEY",420573,445603,LS21 1HD
629L,Pedestrian Crossing,CROWN POINT ROAD NEAR HUNSLET ROAD / SHEAF STREET,430494,432855,LS10 1HD
200L,Pedestrian Crossing,A58 / WHITEHALL ROAD / RING ROAD / LOWER WORTLEY,426778,431767,LS12 6JW
204L,Pedestrian Crossing,RING ROAD FARNLEY / STONEBRIDGE LANE,425492,432808,LS12 4QN
205L,Pedestrian Crossing,R.R / LOWER WORTLEY / KIRKDALE DRIVE / A58 /,426789,431710,LS12 6JW
206L,Pedestrian Crossing,TONG ROAD / GREEN LANE,428035,432817,LS12 1HP
363L,Pedestrian Crossing,A65 / NEW ROAD SIDE / ROSE TERRACE,423511,437379,LS18 4QD
364L,Pedestrian Crossing,BURLEY ROAD / ST ANNES LANE,427158,435266,LS4 2SX
365L,Pedestrian Crossing,BURLEY ROAD / KNOWLE TERRACE,427437,434983,LS4 2PD
366L,Pedestrian Crossing,A657 TOWN ST / RODLEY,422561,436333,LS13 1PR
228L,Pedestrian Crossing,"A6110 / RING ROAD / BUTT LANE, FARNLEY",425046,433149,LS12 5AX
324L,Pedestrian Crossing,KIRKSTALL ROAD / CRAVEN HOUSE,428489,433997,LS3 1JA
325L,Pedestrian Crossing,KIRKSTALL ROAD / BRITISH SCREW WORKS / YTV,428258,434167,LS3 1JS
327L,Pedestrian Crossing,A65 / NEW ROAD SIDE / PARKSIDE,423258,437511,LS18 4DP
335L,Pedestrian Crossing,BURLEY RD / WOODSLEY RD / HYDE PARK RD,428371,434396,LS4 2HF
336L,Pedestrian Crossing,A65 / A 6120 / HORSFORTH DUAL PELICAN,423098,437636,LS18 4DY
419L,Pedestrian Crossing,ROUNDHAY ROAD / SPENCER PLACE,431329,435057,LS7 4BB
422L,Pedestrian Crossing,HARROGATE ROAD / SHORT LANE / WOOD LANE,430459,437361,LS7 4NZ
423L,Pedestrian Crossing,MEANWOOD ROAD / GORDON VIEW,428622,436875,LS6 4AY
424L,Pedestrian Crossing,STONEGATE ROAD / STAINBECK AVENUE,428638,436995,LS6 4HZ
425L,Pedestrian Crossing,MEANWOOD ROAD / BOOTHROYD DRIVE (Formerly YORKSHIRE SWITCHGEAR,429053,436308,LS7 2QQ
426L,Pedestrian Crossing,MEANWOOD ROAD / WHARFEDALE AVENUE,429795,435761,LS7 2JF
430L,Pedestrian Crossing,HARROGATE RD / MONTREAL AV / MEXBOROUGH HOTEL,430690,436784,LS7 4TW
208L,Pedestrian Crossing,TOWN STREET /  HALL ROAD / THEAKER LANE,427069,433475,LS12 1UX
209L,Pedestrian Crossing,TOWN ST / BRANCH RD / WESLEY ST,427170,433520,LS12 1UG
210L,Pedestrian Crossing,TOP MOOR SIDE / RUNSWICK STREET / NEAR BROWN LANE,429143,432057,LS11 9QL
217L,Pedestrian Crossing,A62 / GELDERD RD / LOWFIELDS ROAD,427997,431967,LS12 6BY
219L,Pedestrian Crossing,STANNINGLEY RD / ROSSFIELD APPROACH,424665,434431,LS13 4BN
221L,Pedestrian Crossing,DOMESTIC STREET / PLEASANT ST,428979,432367,LS11 9PG
222L,Pedestrian Crossing,TONG ROAD / SILVER ROYDS HILL,426193,433055,LS12 4WB
223L,Pedestrian Crossing,TONG ROAD / AMBERLEY ROAD,427407,433052,LS12 1QW
250L,Pedestrian Crossing,EASTGATE  /  NR HAREWOOD ST,430542,433713,LS2 7LY
356L,Pedestrian Crossing,STANNINGLEY ROAD / ARMLEY PARK,426944,433748,LS12 3LW
357L,Pedestrian Crossing,CARDIGAN ROAD / SPRING ROAD,427928,435725,LS6 3AD
359L,Pedestrian Crossing,NEW ROAD SIDE / FEATHERBANK AVENUE,423684,437407,LS18 4QB
889L,Pedestrian Crossing,"HARPER LANE NEAR RUFFORD AVENUE, YEADON",420863,440969,LS19 7QR
381L,Pedestrian Crossing,"FINK HILL NEAR HALL LANE, HORSFORTH",423543,437864,LS18 5DX
379L,Pedestrian Crossing,CHURCH AVE / NORTH BROADGATE LANE,424034,438461,LS18 5RF
490L,Pedestrian Crossing,ROUNDHAY ROAD NEAR ENFIELD STREET- THOMAS DANBY COLLEGE,430947,434847,LS7 1RF
355L,Pedestrian Crossing,OTLEY ROAD / GLEN ROAD,427326,437182,LS16 5JY
307L,Pedestrian Crossing,HEADINGLEY LANE / LEEDS GIRL HIGH SCHOOL,428602,435652,LS6 1BL
311L,Pedestrian Crossing,NORTH LANE / ASH ROAD,427718,436120,LS6 3JJ
312L,Pedestrian Crossing,WOODHOUSE LN  / PARKINSON BUILDING,429614,434666,LS2 9HD
314L,Pedestrian Crossing,HEADINGLEY LANE / ST MICHAELS ROAD,428006,435991,LS6 3AW
318L,Pedestrian Crossing,PARK LANE / HANOVER WAY,429191,433840,LS1 4PF
921L,Pedestrian Crossing,A58 WETHERBY ROAD / RED HALL GARDENS,434871,438140,LS17 8ND
329L,Pedestrian Crossing,A65 / NEW ROAD SIDE / NEWLAY LANE,423973,437319,LS18 4NG
332L,Pedestrian Crossing,LOWER TOWN STREET / NEAR OUTGANG LANE,424680,434960,LS13 3JF
333L,Pedestrian Crossing,ABBEY ROAD / ABBEY WALK / KIRKSTALL ABBEY,425955,436231,LS5 3EN
728L,Pedestrian Crossing,MIDDLETON PARK AVENUE / ACRE CLOSE,429915,427468,LS10 4HU
887L,Pedestrian Crossing,GREEN LANE / BENTON PARK DRIVE,421168,440442,LS19 7QZ
481L,Pedestrian Crossing,WEETWOOD LANE / HOLLIN ROAD / WEETWOOD PRIMARY SCHOOL,427623,437110,LS16 5NH
259L,Pedestrian Crossing,WHITEHALL ROAD / RIVERSIDE DEVELOPMENT,429340,433248,LS1 4AW
813L,Pedestrian Crossing,RICHARDSHAW LANE / CHAPEL STREET,422122,434069,LS28 6AA
353L,Pedestrian Crossing,OTLEY ROAD / KEPSTORN ROAD,426881,437507,LS16 5LQ
354L,Pedestrian Crossing,FARSLEY TOWN STREET,421734,435210,LS28 5HX
134L,Pedestrian Crossing,VICAR LN  / KING EDWARD ST / LUDGATE HILL MARKET,430374,433570,LS1 7JQ
135L,Pedestrian Crossing,VICAR LN  /  HARRISON ST /  NORTH COURT BUS STATION,430429,433820,LS2 7NL
140L,Pedestrian Crossing,EASTGATE ROUNDABOUT / EASTGATE,430616,433708,LS2 7LU
374L,Pedestrian Crossing,LEEDS ROAD / LAYTON LANE / KNOTT LANE,422123,438651,LS19 6RG
146L,Pedestrian Crossing,AIRE STREET / CITY SQUARE / WELLINGTON STREET,429829,433399,LS1 4DT
433L,Pedestrian Crossing,EASTERLY ROAD / GIPTON WOOD ROAD,432819,435978,LS8 2TP
435L,Pedestrian Crossing,EASTERLY ROAD / AMBERTON ROAD,432655,435872,LS8 3AD
436L,Pedestrian Crossing,SHEEPSCAR STREET  NORTH  / BARRACK STREET OLD,430636,434979,LS7 2BB
440L,Pedestrian Crossing,WOODHOUSE STREET / PENNINGTON STREET,429392,435423,LS6 2JY
176L,Pedestrian Crossing,SWINEGATE / SOVEREIGN STREET,430149,433187,LS1 4DW
178L,Pedestrian Crossing,MERRION STREET / GARDEN OF REST,430244,433911,LS2 8JF
179L,Pedestrian Crossing,HIGH COURT / KIRKGATE,430615,433328,LS2 7ES
180L,Pedestrian Crossing,HIGH COURT / THE CALLS,430510,433275,LS2 7EW
338L,Pedestrian Crossing,SPEN LANE / BUTCHER HILL,426213,437537,LS16 5AP
339L,Pedestrian Crossing,CARDIGAN ROAD / ASHVILLE GROVE,428033,435094,LS6 1LU
341L,Pedestrian Crossing,KIRKSTALL ROAD / EVANSTON AVENUE,427513,434555,LS4 2HD
342L,Pedestrian Crossing,KIRKSTALL ROAD / HADDON PLACE,427386,434627,LS4 2EZ
344L,Pedestrian Crossing,WOODSLEY ROAD / HYDE PARK,428495,434472,LS6 1PY
345L,Pedestrian Crossing,A660 / OTLEY ROAD / ALMA COTTAGES / ARNDALE CENTRE,427854,436278,LS6 2UE
792L,Pedestrian Crossing,"BRUNTCLIFFE LANE / BRUNTCLIFFE HIGH SCHOOL, MORLEY",425173,427782,LS27 0LZ
571L,Pedestrian Crossing,BECKETT STREET TOUCAN - Nr ROXBY CLOSE,431465,434188,LS9 7LS
925L,Pedestrian Crossing,"DEIGHTON ROAD, DEIGHTON GATES SCHOOL, WETHERBY",440243,449626,LS22 7QG
486L,Pedestrian Crossing,ROUNDHAY ROAD / GLEDHOW WOOD ROAD,432284,436262,LS8 2SP
864L,Pedestrian Crossing,"Church Road (Morrisons), adjacent to Church Crescent, Horsforth",423678,438145,LS18 5LE
269L,Pedestrian Crossing,"Portland Way, near Woodhouse Lane, (Rose Bowl), Leeds",429860,434224,LS1 3EA
579L,Pedestrian Crossing,"A6120 STATION ROAD, ST THERESA'S CHURCH, CROSSGATES",436148,434580,LS15 7DY
577L,Pedestrian Crossing,A6120 RING ROAD CROSS GATES NEAR BARWICK ROAD,436095,435524,LS15 7QE
934L,Pedestrian Crossing,KING LANE NEAR LINGFIELD APPROACH - ALLERTON HIGH SCHOOL,429575,439228,LS17 5PX
660L,Pedestrian Crossing,"CARLTON LANE / STONE BRIG LANE, ROTHWELL",434124,427732,LS26 0DJ
962L,Pedestrian Crossing,"STATION ROAD NEAR ROBINSON STREET, ALLERTON BYWATER",441922,427711,WF10 2BP
572L,Pedestrian Crossing,STONEY ROCK LANE,431699,434128,LS9 7HU
859L,Pedestrian Crossing,A658 / VICTORIA AVENUE,421836,441196,LS19 7AW
865L,Pedestrian Crossing,HARROGATE RD / QUAKERS LN / BATTER LN  / LITTLEMOOR SCHOOL,420957,439958,LS19 6EU
868L,Pedestrian Crossing,A65 / SPRINGFIELD ROAD,419084,441925,LS20 8AF
957L,Pedestrian Crossing,"LEEDS ROAD / MOORGATE ROAD, KIPPAX",441287,431087,LS25 7ET
658L,Pedestrian Crossing,WOOD LANE PUFFIN / ROTHWELL,433873,428900,LS26 0PJ
657L,Pedestrian Crossing,A61 LEEDS ROAD / ROBIN HOOD,432595,426897,WF3 3BG
881L,Pedestrian Crossing,ARTHINGTON ROAD / POOL IN WHARFEDALE,424542,445139,LS21 1LH
154L,Pedestrian Crossing,HEADROW / LANDS LANE / ALLDERS,430187,433749,LS1 6LR
480L,Pedestrian Crossing,STAINBECK LANE PUFFIN / NR SAFEWAY & HARROGATE ROAD,430445,437067,LS7 3QZ
405L,Pedestrian Crossing,OTLEY ROAD / WEETWOOD LANE / THREE HORSE SHOES,427547,436892,LS6 4BE
408L,Pedestrian Crossing,WOODHOUSE LANE  / ST MARKS AVENUE / UNIVERSITY (ENG),429454,434915,LS2 9DX
410L,Pedestrian Crossing,ROUNDHAY ROAD / BANSTEAD TERRACE,431671,435344,LS8 5PX
411L,Pedestrian Crossing,ROUNDHAY ROAD / SHEPHERDS LANE / HAREHILLS PRIMARY SCHOOL,431780,435536,LS8 5AA
412L,Pedestrian Crossing,SHEEPSCAR STREET SOUTH /  HOLROYD STREET,430751,434693,LS7 1AD
375L,Pedestrian Crossing,CARDIGAN LANE / ASHVILLE ROAD / CARDIGAN ROAD,427992,435223,LS6 1LU
115L,Pedestrian Crossing,PARK ROW / BOND STREET / BOND COURT,429922,433583,LS1 2JZ
124L,Pedestrian Crossing,MERRION STREET / DUAL PEDESTRIAN,430220,433919,LS2 8JQ
125L,Pedestrian Crossing,MEADOW LN  / DOCK ST  / BRIDGE END / WATER LANE,430298,433090,LS10 1JQ
126L,Pedestrian Crossing,CLAYPIT LANE / HEPWORTHS PELICAN,430131,434248,LS2 8NQ
372L,Pedestrian Crossing,A65 KIRKSTALL ROAD NEAR WOODSIDE VIEW (IMMIGRATION OFFICE),427031,434838,LS4 2QD
370L,Pedestrian Crossing,TINSHILL LANE / HORSFORTH BRIDGE/STATION ROAD,424461,439078,LS16 6PB
461L,Pedestrian Crossing,STREET LANE / NEAR ROMAN AVENUE,432412,438772,LS8 1AP
465L,Pedestrian Crossing,SCOTT HALL ROAD /POTTERNEWTON LN/ GUIDED BUS,429991,436550,LS7 2DW
466L,Pedestrian Crossing,SCOTT HALL ROAD / POTTERNEWTON LN / PED,429991,436548,LS7 2DW
483L,Pedestrian Crossing,STONEGATE ROAD NEAR PARKLAND DRIVE,429403,437969,LS6 4PU
482L,Pedestrian Crossing,"OAKWOOD LANE, HOLLIN PARK",433375,436184,LS8 3HA
927L,Pedestrian Crossing,"A61 HARROGATE RD, HAREWOOD ARMS",432160,445094,LS17 9LQ
676L,Pedestrian Crossing,SOUTH ACCOMMODATION ROAD / CLARENCE ROAD,431206,432348,LS10 1NQ
187L,Pedestrian Crossing,LINCOLN GREEN ROAD / GRANVILLE PUB,431302,434133,LS9 7SU
188L,Pedestrian Crossing,CROSS BELGRAVE ST &  A58 SLIP ROAD,430355,433935,LS1 6NU
193L,Pedestrian Crossing,WOODHOUSE LANE / VERNON STREET / BUS GATE,430034,434089,LS2 8LX
196L,Pedestrian Crossing,OXFORD PLACE / PEDESTRIAN CROSSING,429724,433903,LS1 3AX
677L,Pedestrian Crossing,CLARENCE ROAD / SOUTH ACCOMMODATION ROAD,431238,432388,LS10 1ND
678L,Pedestrian Crossing,SOUTH ACCOMMODATION ROAD / ATKINSON STREET,431298,432374,LS10 1PR
679L,Pedestrian Crossing,ATKINSON STREET / SOUTH ACCOMMODATION ROAD,431270,432297,LS10 1PS
931L,Pedestrian Crossing,"Gay Lane, near Cambridge Street, Otley",420423,445261,LS21 3BB
932L,Pedestrian Crossing,"Bondgate, near Crossgate, Otley",420302,445368,LS21 3AB
346L,Pedestrian Crossing,KIRKSTALL LANE / HEADINGLEY MOUNT,427529,435882,LS6 3EJ
349L,Pedestrian Crossing,BURLEY ROAD / CARDIGAN LANE,427698,434726,LS4 2NY
351L,Pedestrian Crossing,QUEENSWOOD DRIVE / NR FOXCROFT ROAD,426606,436238,LS6 3LG
631L,Pedestrian Crossing,"MARSH STREET / ROYDS LANE, ROTHWELL.",434584,428045,LS26 0AG
634L,Pedestrian Crossing,WAKEFIELD ROAD / FIRST DIRECT PELICAN,432014,430850,LS10 1DP
636L,Pedestrian Crossing,A61 / WAKEFIELD ROAD / NR LEADWELL LANE,432500,427404,WF3 3AL
640L,Pedestrian Crossing,KIRKGATE / TOUCAN,430690,433324,LS2 7DJ
649L,Pedestrian Crossing,OULTON LN / Nr TENNIS COURTS / ROTHWELL,434905,428188,LS26 0EA
651L,Pedestrian Crossing,ROSE WHARFE / EAST STREET TOUCAN,431275,432816,LS9 8LJ
704L,Pedestrian Crossing,DEWSBURY ROAD / BURTON AVENUE,430103,431456,LS11 5EG
705L,Pedestrian Crossing,DEWSBURY ROAD / STRATFORD STREET / KWIKSAVE,430058,431058,LS11 5HZ
707L,Pedestrian Crossing,RING ROAD / COTTINGLEY DRIVE / DRYSALTERS PUBLIC HOUSE,427875,430466,LS11 0JG
710L,Pedestrian Crossing,DEWSBURY ROAD / BARKLY ROAD,429346,430121,LS11 5LE
712L,Pedestrian Crossing,CEMETERY ROAD / MALVERN STREET,429142,431718,LS11 8SQ
714L,Pedestrian Crossing,OLD LANE / BARKLY ROAD,428771,430721,LS11 7JS
724L,Pedestrian Crossing,MIDDLETON PARK ROAD CIRCUS,429966,428096,LS10 3TR
727L,Pedestrian Crossing,MIDDLETON PARK ROAD / LINGWELL ROAD PELICAN,430353,428089,LS10 4AY
755L,Pedestrian Crossing,BRITTANIA RD  / ASKEY AVENUE  / A650,426719,426690,LS27 0HE
758L,Pedestrian Crossing,ELLAND RD / VICTORIA ST / CLARENDON TERRACE / PARK ST,427177,429509,LS27 7QT
759L,Pedestrian Crossing,CORPORATION ST / SCATCHERD LN  / QUEENSWAY HEALTH CENTRE,426069,427726,LS27 9LG
765L,Pedestrian Crossing,A650 / BLACKGATES SCHOOL / TINGLEY,428481,426065,WF3 1QS
768L,Pedestrian Crossing,WHITE ROSE / MILLSHAW ROAD PELICAN,428355,426529,LS11 8EW
772L,Pedestrian Crossing,CORPORATION ST / NR ROUNDABOUT - PELICAN,426218,427494,LS27 9EH
803L,Pedestrian Crossing,LEEDS & BRADFORD ROAD / MOORLAND ROAD,420041,434147,LS28 8ES
804L,Pedestrian Crossing,LEEDS & BRADFORD RD / EDEROYD DR  / WOMERSLEY PL,420658,434357,LS28 7TQ
805L,Pedestrian Crossing,SALISBURY ST / VICTORIA PARK POST OFFICE / CARR RD,420430,437118,LS28 5RH
807L,Pedestrian Crossing,B6154 / WATERLOO ROAD / PUDSEY INFANT SCHOOL,421161,433248,LS28 7NR
808L,Pedestrian Crossing,"LOWTOWN / DELPH HILL / PELICAN, PUDSEY.",422451,433494,LS28 7BQ
857L,Pedestrian Crossing,CROSSGATE / NELSON STREET,420317,445418,LS21 1AA
858L,Pedestrian Crossing,A65 LEEDS ROAD / NEW ROAD / WHACK HOUSE LANE,419989,440914,LS19 7NF
666L,Pedestrian Crossing,Pontefract Ln crossing / East Leeds Link Rd,432248,432730,LS9 0BA
929L,Pedestrian Crossing,HORSEFAIR / HALLFIELD LANE,440549,448164,LS22 6JJ
930L,Pedestrian Crossing,"A659 HAREWOOD RD / LINTON RD, COLLINGHAM.",438393,445930,LS22 5BS
667L,Pedestrian Crossing,Pontefract Ln / East Leeds Link Rd / Cattons crossing,432468,432539,LS9 0DX
668L,Pedestrian Crossing,Pontefract Ln / East Leeds Link Rd / Decco,432920,432380,LS9 0ST
669L,Pedestrian Crossing,Pontefract Ln / East Leeds Link Rd / Bridleway toucan,433334,432206,LS9 0SS
386L,Pedestrian Crossing,"KIRKSTALL LEISURE CENTRE, KIRKSTALL LANE",426372,435603,LS5 3BH
488L,Pedestrian Crossing,A6120 RING ROAD MOORTOWN / QUEENSHILL CRESCENT,430110,439125,LS17 6DE
898L,Pedestrian Crossing,A660 LAWNSWOOD CEMETERY,426895,439022,LS16 6AL
897L,Pedestrian Crossing,"Brownberrie Lane, near Brownberrie Drive, Horsforth",423981,439111,LS18 5SB
933L,Pedestrian Crossing,"Kirkgate near Church Lane, Otley",420197,445423,LS21 3HJ
268L,Pedestrian Crossing,WHITEHALL RD / GLOBE RD,429118,433084,LS12 1BE
451L,Pedestrian Crossing,STREET LANE / BIDEFORD AVENUE,431863,438843,LS8 2AD
452L,Pedestrian Crossing,HARROGATE RD / STAINBURN PARADE / KINGS CROFT GARDENS,430607,438176,LS17 6PA
455L,Pedestrian Crossing,EASTERLY ROAD / DIBB LANE,433879,436529,LS8 2TR
457L,Pedestrian Crossing,MEANWOOD ROAD / BUSLINGTHORPE LANE,430018,435551,LS7 2DD
458L,Pedestrian Crossing,EASTERLY ROAD / OAKWOOD LANE ROUNDABOUT,433291,436216,LS8 2RB
460L,Pedestrian Crossing,CHAPELTOWN ROAD / FRANCIS STREET,430845,435463,LS7 3DU
501L,Pedestrian Crossing,SCOTT HALL ROAD / SHOLEBROKE MOUNT,430326,435944,LS7 2HH
506L,Pedestrian Crossing,A64 / YORK ROAD / SEACROFT HOSPITAL,434955,434662,LS14 6AA
510L,Pedestrian Crossing,Harehills Lane / Coldcotes Avenue,432518,434733,LS9 6AP
511L,Pedestrian Crossing,HAREHILLS LANE / MILAN ROAD / DORSET MOUNT,432104,435465,LS8 3QH
512L,Pedestrian Crossing,HAREHILLS LANE / KITCHENER STREET / NOWELL AVENUE,432793,434393,LS9 6HY
513L,Pedestrian Crossing,A64 / YORK ROAD / BARWICK AVENUE,435934,435421,LS14 6JS
472L,Pedestrian Crossing,MEANWOOD ROAD / CAMBRIDGE ROAD,430229,435149,LS7 2AP
473L,Pedestrian Crossing,HARROGATE ROAD / NR SANDHILL LANE NR ORR,430704,439129,LS17 6DJ
474L,Pedestrian Crossing,PRINCES AVENUE / ROUNDHAY - TROPICAL GARDEN,432721,438316,LS8 2ER
476L,Pedestrian Crossing,"GREEN ROAD, MEANWOOD, near The Co-op",428573,437040,LS6 4JY
478L,Pedestrian Crossing,HAREHILLS LANE / NEWTON ROAD PUFFIN,431162,436379,LS7 4RP
254L,Pedestrian Crossing,ALBION STREET / WORMALD ROW,430073,433839,LS1 8EQ
442L,Pedestrian Crossing,ROUNDHAY ROAD / OAKWOOD SHOPS / NEAR GLEDHOW LANE,432602,436814,LS8 2HU
443L,Pedestrian Crossing,CHAPELTOWN ROAD / LEOPOLD STREET / SAVILLE MOUNT,430758,435230,LS7 3HY
444L,Pedestrian Crossing,CHAPELTOWN ROAD / COWPER STREET / MEXBOROUGH STREET,430898,435568,LS7 3DX
445L,Pedestrian Crossing,ROUNDHAY ROAD / BARRACK ROAD,431190,434971,LS7 1QB
446L,Pedestrian Crossing,HARROGATE ROAD / STAINBECK LANE / POLICE STATION,430511,437037,LS7 3PD
447L,Pedestrian Crossing,SCOTT HALL ROAD / MEXBOROUGH ST,430465,435614,LS7 3JT
869L,Pedestrian Crossing,CHURCH ROAD / CHURCH LANE / HORSFORTH,423816,438261,LS18 5LA
871L,Pedestrian Crossing,LEEDS ROAD /  BREARY LANE,425640,443014,LS16 9BS
872L,Pedestrian Crossing,OTLEY ROAD PELICAN NEAR FARRAR LANE/LINKED TO 863L,426982,439552,LS16 7NR
873L,Pedestrian Crossing,BILLAMS HILL PELICAN,420054,445950,LS21 2AB
875L,Pedestrian Crossing,PARK ROAD NEAR BACK LANE,418860,441646,LS20 8BF
878L,Pedestrian Crossing,HARPER LANE / FOOTBALL / YEADON,421019,441072,LS19 7YU
900L,Pedestrian Crossing,A58 / WETHERBY ROAD /  COLLINGHAM,438810,445932,LS22 5JL
905L,Pedestrian Crossing,JAMES STREET /  NORTH STREET,440474,448419,LS22 6NU
