Reference.Number,Easting,Northing,Number.of.Vehicles,Number.of.Casualties,Accident.Date,Time..24hr.,X1st.Road.Class,Road.Surface,Lighting.Conditions,Weather.Conditions,Casualty.Class,Casualty.Severity,Sex.of.Casualty,Age.of.Casualty,Type.of.Vehicle,Latitude,Longitude
36409,425924,435145,2,1,08-Jan-09,1656,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,20,Motorcycle,53.81173218,-1.606248301
36509,430189,431710,1,1,16-Jan-09,1338,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,21,Motorcycle,53.78062576,-1.541807308
36909,431404,435026,2,1,15-Jan-09,1935,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,43,Car,53.81036043,-1.523029301
37009,418301,441336,2,1,14-Jan-09,1753,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Serious,Male,37,Bicycle,53.86770629,-1.721661087
37209,430459,435623,4,1,15-Jan-09,740,3,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Male,16,Car,53.8157829,-1.537322545
37309,427887,440270,2,1,15-Jan-09,1335,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,75,Bicycle,53.85769775,-1.57596868
37409,434107,433901,2,1,15-Jan-09,910,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,42,Car,53.80007795,-1.48210197
37509,430324,433288,4,1,17-Jan-09,133,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,19,Car,53.79480215,-1.539603149
39009,431864,429760,2,1,17-Jan-09,1001,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,39,Goods Vehicle,53.7629979,-1.51658744
39409,429941,425130,2,2,17-Jan-09,1505,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,20,Car,53.72149378,-1.546209061
39509,432733,427496,1,1,19-Jan-09,817,3,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Male,12,Car,53.74259351,-1.50364424
40909,436189,434322,2,2,19-Jan-09,1154,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,23,Car,53.80372147,-1.450439899
41109,436067,436616,2,1,19-Jan-09,1800,6,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,21,Car,53.82434975,-1.452023576
41309,440894,433571,2,1,19-Jan-09,1655,3,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver or rider,Slight,Female,55,Car,53.79662248,-1.379094641
42009,428344,431608,2,1,15-Jan-09,1330,1,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,36,Car,53.77981264,-1.569818223
42909,424910,439707,2,2,19-Jan-09,902,6,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Female,34,Car,53.85278849,-1.621279516
43009,436158,441823,2,2,20-Jan-09,848,6,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,40,Car,53.87114667,-1.450027908
43109,434843,436328,1,1,17-Jan-09,1742,6,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,68,Bus or Coach,53.82184453,-1.470651906
43809,428923,429880,1,1,19-Jan-09,1715,6,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Female,61,Car,53.76424816,-1.561192944
44009,427202,432544,1,1,21-Jan-09,1030,6,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,45,Bus or Coach,53.78828708,-1.587067447
44909,423734,434325,3,2,19-Jan-09,750,6,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Serious,Male,23,Motorcycle,53.80446592,-1.639574011
45409,425537,432762,2,4,19-Jan-09,1820,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Female,58,Car,53.79033101,-1.612323802
45509,419963,446150,2,1,19-Jan-09,1500,6,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Female,43,Car,53.91091685,-1.696070434
45609,420113,434034,2,1,20-Jan-09,815,6,Frost / Ice,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,27,Car,53.80200279,-1.694580813
45909,431003,430540,1,1,21-Jan-09,100,1,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,35,Goods Vehicle,53.77006109,-1.529570914
46809,427551,431985,2,1,20-Jan-09,800,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,39,Bicycle,53.78324399,-1.581819671
47109,432711,434493,1,1,17-Jan-09,1645,4,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,21,Car,53.8054889,-1.503235754
47309,429273,430090,2,1,10-Jan-09,1122,3,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,48,Car,53.76611626,-1.555863152
47409,427079,434817,1,1,22-Jan-09,615,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Female,52,Car,53.80872499,-1.588734707
47909,429932,437557,3,1,19-Jan-09,1848,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,59,Car,53.83319763,-1.545139226
50009,423424,437621,1,1,21-Jan-09,1820,3,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Serious,Male,20,Car,53.83410708,-1.644030587
50509,421990,433001,1,1,20-Jan-09,630,4,Frost / Ice,Darkness: street lights present and lit,Other,Driver or rider,Slight,Male,34,Bus or Coach,53.79264133,-1.666152525
50809,428956,435471,2,2,19-Jan-09,750,3,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Male,23,Car,53.81450249,-1.560166919
52709,440893,448715,2,2,22-Jan-09,1714,4,Wet / Damp,Darkness: street lights present and lit,Other,Driver or rider,Slight,Female,64,Car,53.93274263,-1.377090956
53109,434696,434563,2,1,23-Jan-09,800,3,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Female,47,Car,53.80598947,-1.473084108
53409,431630,434445,1,1,24-Jan-09,1148,6,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,86,Bus or Coach,53.80512431,-1.519656601
54309,424019,438460,2,1,23-Jan-09,730,6,Wet / Damp,Darkness: street lighting unknown,Unknown,Driver or rider,Slight,Male,44,Bicycle,53.84162149,-1.634923113
56609,428458,432960,1,1,26-Jan-09,1600,4,Dry,Daylight: street lights present,Unknown,Passenger,Slight,Male,45,Bus or Coach,53.79195924,-1.567963245
57109,422663,432681,2,1,24-Jan-09,1715,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,42,Car,53.78973602,-1.65595892
57909,433428,433952,1,1,23-Jan-09,1600,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,5,Car,53.80058045,-1.492406265
58109,439119,432454,2,1,21-Jan-09,715,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,43,Motorcycle,53.78671878,-1.406185168
58209,430637,434720,2,1,22-Jan-09,2000,6,Dry,Darkness: street lighting unknown,Unknown,Driver or rider,Slight,Male,29,Car,53.80765565,-1.534708694
58509,428508,442351,1,1,23-Jan-09,2230,6,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Female,18,Car,53.8763694,-1.56633303
58709,434063,435140,2,1,23-Jan-09,722,6,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,50,Car,53.81121775,-1.482632963
59109,429806,433383,1,1,18-Jan-09,1510,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,30,Car,53.79568601,-1.547458266
59409,441925,430291,2,1,21-Jan-09,1855,6,Wet / Damp,Darkness: street lighting unknown,Other,Driver or rider,Slight,Female,33,Car,53.7670582,-1.363887779
59709,428207,426829,1,1,24-Jan-09,800,3,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,42,Car,53.7368625,-1.572334073
61409,428824,435224,2,1,22-Jan-09,1530,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,19,Car,53.81228961,-1.562195034
64709,432000,430452,2,2,23-Jan-09,1330,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,52,Car,53.76920977,-1.514452488
66109,429950,428086,1,1,19-Jan-09,1029,6,Wet / Damp,Daylight: street lights present,Snowing without high winds,Passenger,Slight,Male,65,Bus or Coach,53.74806423,-1.545786298
66209,431508,435120,2,5,03-Jan-09,1745,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,18,Car,53.81119908,-1.521440164
66909,425125,432463,1,1,27-Jan-09,830,6,Wet / Damp,Daylight: street lights present,Unknown,Driver or rider,Slight,Male,42,Motorcycle,53.78766341,-1.618602583
67609,426354,428164,2,1,23-Jan-09,1325,4,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,45,Bicycle,53.7489596,-1.600314059
67809,429675,432925,3,5,23-Jan-09,1435,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,26,Car,53.79157665,-1.549491276
68809,431076,431126,1,1,27-Jan-09,925,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,25,Bus or Coach,53.77532415,-1.52840424
69009,430689,434966,2,2,28-Jan-09,1500,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,26,Car,53.8098638,-1.533894458
69109,420142,446596,2,1,26-Jan-09,845,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,34,Car,53.91491889,-1.693315894
69409,420347,440465,2,1,25-Jan-09,1715,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,33,Motorcycle,53.85980087,-1.690601831
69509,428587,440798,3,4,27-Jan-09,1755,6,Dry,Darkness: no street lighting,Fine without high winds,Driver or rider,Serious,Female,42,Car,53.86240569,-1.565276083
70009,430113,431728,1,2,28-Jan-09,1440,3,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,65,Bus or Coach,53.78079196,-1.542958997
70609,439643,436962,3,2,28-Jan-09,1530,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Fatal,Male,75,Car,53.8271993,-1.397650915
70809,421881,442830,2,2,27-Jan-09,757,6,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,36,Car,53.88099687,-1.667107359
71409,425479,434192,1,1,28-Jan-09,1740,6,Wet / Damp,Darkness: street lights present and lit,Fog or mist ,Pedestrian,Serious,Male,18,Car,53.80318785,-1.613085983
72109,428300,444735,1,1,20-Jan-09,2140,3,Frost / Ice,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Male,26,Car,53.89780967,-1.569276809
73309,429797,433923,2,1,28-Jan-09,1000,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,28,Bicycle,53.80054044,-1.547542663
75209,428838,434630,2,1,29-Jan-09,1735,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,19,Bicycle,53.80694953,-1.562038054
75409,429175,438564,2,1,01-Feb-09,1847,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Male,26,Car,53.84229229,-1.55654695
75509,422946,427920,4,3,29-Jan-09,749,3,Wet / Damp,Darkness: street lights present and lit,Fog or mist ,Driver or rider,Slight,Female,36,Car,53.7469275,-1.652016936
75609,427265,427701,2,1,29-Jan-09,900,4,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,33,Car,53.7447509,-1.586539044
76909,427495,425524,2,1,30-Jan-09,1405,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,37,Car,53.72517005,-1.583244914
77009,424351,438774,1,1,16-Jan-09,630,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,33,Car,53.8444285,-1.629852098
77209,431072,430361,2,2,30-Jan-09,1840,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Male,18,Motorcycle,53.76844799,-1.528541998
77309,431074,431989,2,1,30-Jan-09,1545,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,40,Bicycle,53.78308154,-1.528347617
77409,432914,432149,2,1,30-Jan-09,703,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Male,18,Motorcycle,53.78440664,-1.500403485
77809,423583,434592,2,1,29-Jan-09,740,6,Wet / Damp,Daylight: street lights present,Other,Driver or rider,Serious,Male,59,Bicycle,53.8068728,-1.641846603
77909,434271,433802,1,2,31-Jan-09,1801,6,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,20,Car,53.7991773,-1.479622841
78009,424889,427724,2,1,30-Jan-09,1823,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Male,35,Motorcycle,53.74507651,-1.622567217
78109,422365,440401,1,1,30-Jan-09,1820,6,Dry,Darkness: no street lighting,Fine without high winds,Pedestrian,Slight,Male,32,Car,53.85914256,-1.65992119
78409,433659,438992,1,2,01-Feb-09,506,3,Dry,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,21,Car,53.84586818,-1.488347107
78509,426868,437527,2,2,14-Jan-09,1138,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,23,Car,53.83309545,-1.59170246
78809,422078,433943,2,2,29-Jan-09,1330,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,44,Car,53.80110511,-1.664749029
79209,423015,437661,2,1,31-Jan-09,1920,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,49,Bicycle,53.83448491,-1.650242947
79509,427608,434511,2,3,30-Jan-09,2248,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,31,Car,53.80594662,-1.580728141
79809,435231,434830,2,2,30-Jan-09,715,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,33,Car,53.80835346,-1.46492908
80009,428546,433218,2,1,30-Jan-09,2139,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,23,Car,53.79427352,-1.566603403
80209,435518,434819,1,1,22-Jan-09,1540,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,86,Bicycle,53.80823506,-1.460571747
80409,435821,435759,3,2,29-Jan-09,2332,6,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,20,Car,53.81666355,-1.45586075
80509,432061,436084,3,3,29-Jan-09,821,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,42,Car,53.81983034,-1.512940787
80609,432798,434232,2,2,01-Feb-09,1125,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,26,Car,53.80313738,-1.501942392
80709,435211,433542,1,1,06-Jan-09,1510,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,11,Car,53.79677748,-1.465380108
81009,422286,433429,1,1,24-Jan-09,308,4,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,21,Car,53.79647597,-1.661627838
81609,430243,424085,5,3,30-Jan-09,1755,1,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,49,Car,53.71208301,-1.541734171
82809,432453,433799,2,1,02-Feb-09,1011,6,Snow,Daylight: street lights present,Snowing without high winds,Driver or rider,Slight,Male,37,Car,53.79926692,-1.507226847
85909,429427,435414,1,1,29-Jan-09,2241,6,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Pedestrian,Serious,Male,44,Taxi,53.81396369,-1.553018258
