Col.Number,Reference.Number,Easting,Northing,Number.of.Vehicles,Number.of.Casualties,Accident.Date,Time..24hr.,X1st.Road.Class,Road.Surface,Lighting.Conditions,Weather.Conditions,Casualty.Class,Casualty.Severity,Sex.of.Casualty,Age.of.Casualty,Type.of.Vehicle,Latitude,Longitude
1,3309,429093,436258,1,1,01/01/2009,55,6,1,4,1,3,3,1,44,9,53.8215689656,-1.55801156614
2,2609,434723,435534,1,1,02/01/2009,2335,6,1,4,1,1,2,2,23,9,53.8147156112,-1.47256453311
3,2809,441173,433047,1,1,02/01/2009,1645,6,1,4,1,3,3,2,12,9,53.7918905134,-1.374928815
4,3809,428487,431364,1,1,02/01/2009,1723,3,1,4,1,3,3,1,15,9,53.7776115677,-1.56767049717
5,3909,425928,435480,2,2,02/01/2009,1350,6,1,1,1,1,3,2,34,9,53.8147432166,-1.60615931919
6,3909,425928,435480,2,2,02/01/2009,1350,6,1,1,1,1,3,1,25,9,53.8147432166,-1.60615931919
7,19809,425642,434240,2,1,02/01/2009,2300,3,1,4,1,1,3,1,57,9,53.8036113031,-1.61060679473
8,3709,429610,439798,1,1,03/01/2009,222,6,1,4,1,2,3,1,17,9,53.8533596853,-1.5498162809
9,4309,426535,433642,2,1,03/01/2009,325,6,2,4,1,2,3,2,23,9,53.7981912176,-1.59709780681
10,9009,437658,445061,1,2,03/01/2009,1645,3,2,6,1,2,3,1,20,9,53.9001445092,-1.4268157539
11,9009,437658,445061,1,2,03/01/2009,1645,3,2,6,1,2,3,1,23,9,53.9001445092,-1.4268157539
12,66209,431508,435120,2,5,03/01/2009,1745,6,1,4,1,1,3,2,18,9,53.8111990766,-1.52144016373
13,66209,431508,435120,2,5,03/01/2009,1745,6,1,4,1,2,3,2,47,9,53.8111990766,-1.52144016373
14,66209,431508,435120,2,5,03/01/2009,1745,6,1,4,1,2,3,1,11,9,53.8111990766,-1.52144016373
15,66209,431508,435120,2,5,03/01/2009,1745,6,1,4,1,2,3,2,15,9,53.8111990766,-1.52144016373
16,66209,431508,435120,2,5,03/01/2009,1745,6,1,4,1,2,3,2,42,9,53.8111990766,-1.52144016373
17,2909,443402,438684,2,2,04/01/2009,1605,2,1,4,1,1,3,1,83,9,53.8423769165,-1.34029618737
18,2909,443402,438684,2,2,04/01/2009,1605,2,1,4,1,2,3,2,65,9,53.8423769165,-1.34029618737
19,4209,428099,426648,1,1,04/01/2009,21,3,2,4,1,1,3,2,24,9,53.7352413475,-1.57398793827
20,8409,431482,435007,2,3,04/01/2009,1430,6,1,1,1,1,3,1,28,9,53.8101849305,-1.52184660967
21,8409,431482,435007,2,3,04/01/2009,1430,6,1,1,1,1,3,1,29,9,53.8101849305,-1.52184660967
22,8409,431482,435007,2,3,04/01/2009,1430,6,1,1,1,2,3,1,26,9,53.8101849305,-1.52184660967
23,3109,427890,430474,1,2,05/01/2009,705,3,2,4,1,1,3,1,42,9,53.7696438563,-1.57681099703
24,3109,427890,430474,1,2,05/01/2009,705,3,2,4,1,3,1,1,18,9,53.7696438563,-1.57681099703
25,8509,427304,433623,3,2,05/01/2009,1430,3,1,1,1,1,3,1,34,9,53.7979806383,-1.58542347918
26,8509,427304,433623,3,2,05/01/2009,1430,3,1,1,1,1,3,2,38,9,53.7979806383,-1.58542347918
27,11009,432430,433799,1,1,05/01/2009,1250,6,1,1,1,2,3,1,40,11,53.7992683581,-1.50757606975
28,22509,431463,432466,1,1,05/01/2009,2330,3,1,4,1,1,3,1,23,9,53.7873457959,-1.52239476761
29,8609,432533,434156,1,1,06/01/2009,1805,6,1,4,1,3,3,2,4,9,53.8024708836,-1.50597444303
30,9109,421617,434392,2,2,06/01/2009,1800,4,1,4,1,1,3,1,78,9,53.8051604683,-1.67171758984
31,9109,421617,434392,2,2,06/01/2009,1800,4,1,4,1,1,3,1,51,9,53.8051604683,-1.67171758984
32,11609,433601,429802,1,1,06/01/2009,1725,1,1,4,1,3,3,1,52,9,53.7632662779,-1.49023175131
33,12909,424112,434008,1,1,06/01/2009,1308,3,1,1,1,2,3,1,66,11,53.801599075,-1.63385863356
34,13109,425186,437731,2,2,06/01/2009,1040,6,1,1,1,1,3,1,30,8,53.8350134164,-1.61724547813
35,13109,425186,437731,2,2,06/01/2009,1040,6,1,1,1,1,3,1,66,9,53.8350134164,-1.61724547813
36,19109,421016,441155,1,1,06/01/2009,1120,6,1,1,1,3,3,1,88,9,53.8659764689,-1.68038186486
37,21809,429870,430441,3,1,06/01/2009,2055,6,2,4,1,1,3,1,40,9,53.7692374227,-1.54677165638
38,22309,423629,437988,3,1,06/01/2009,1109,6,1,1,1,1,3,1,49,2,53.8373966808,-1.64088709332
39,80709,435211,433542,1,1,06/01/2009,1510,6,1,1,1,3,3,1,11,9,53.7967774803,-1.46538010835
40,147409,437665,444765,1,1,06/01/2009,2046,3,1,6,1,1,2,1,22,9,53.8974834308,-1.42674563458
41,11309,430112,431742,2,1,07/01/2009,1240,3,2,1,1,1,3,1,17,1,53.7809178647,-1.5429728065
42,11809,429436,433461,2,1,07/01/2009,1730,6,1,7,1,1,3,1,40,9,53.7964081969,-1.55306829813
43,17709,432067,428607,2,2,07/01/2009,1805,1,2,4,1,1,3,1,24,9,53.7526214182,-1.51362758273
44,17709,432067,428607,2,2,07/01/2009,1805,1,2,4,1,1,3,1,27,90,53.7526214182,-1.51362758273
45,19509,425549,436382,2,1,07/01/2009,750,3,2,1,1,1,3,1,41,1,53.8228698546,-1.6118411803
46,12009,429298,428264,2,2,08/01/2009,847,6,2,1,1,1,2,1,23,9,53.7497012985,-1.55565714244
47,12009,429298,428264,2,2,08/01/2009,847,6,2,1,1,1,3,2,54,9,53.7497012985,-1.55565714244
48,13509,425070,437952,1,1,08/01/2009,1100,6,1,1,1,2,3,2,71,11,53.8370055423,-1.61899026958
49,18409,430859,424436,2,2,08/01/2009,830,1,1,1,1,1,3,1,47,9,53.7152020323,-1.53236540096
50,18409,430859,424436,2,2,08/01/2009,830,1,1,1,1,2,3,1,22,9,53.7152020323,-1.53236540096
51,22709,432517,436673,2,1,08/01/2009,830,6,2,1,1,2,3,1,11,9,53.8250963288,-1.50595140169
52,36409,425924,435145,2,1,08/01/2009,1656,6,2,4,1,1,3,1,20,4,53.8117321755,-1.60624830065
53,86809,423618,434131,1,1,08/01/2009,1710,6,1,4,1,3,3,1,7,9,53.8027273659,-1.64135043854
54,13009,431503,435127,2,1,09/01/2009,819,3,1,1,1,1,3,1,31,1,53.8112623003,-1.52151538682
55,15509,440513,448481,2,1,09/01/2009,2103,4,4,4,8,1,3,1,21,9,53.9306692511,-1.38291002379
56,18009,429771,431652,2,1,09/01/2009,1539,6,1,1,1,1,3,1,21,3,53.7801284901,-1.54815687254
57,18209,422040,443853,1,1,09/01/2009,147,6,1,6,1,1,3,1,38,19,53.890185606,-1.66461481742
58,19209,429700,432100,3,1,09/01/2009,752,1,2,1,1,1,3,2,27,9,53.7841595095,-1.54919126265
59,20009,441206,448780,2,1,09/01/2009,750,2,2,1,1,1,3,1,49,5,53.9333020521,-1.37231468065
60,29709,421375,440473,2,2,09/01/2009,1550,3,2,1,1,1,3,1,39,11,53.8598314643,-1.67496969131
61,29709,421375,440473,2,2,09/01/2009,1550,3,2,1,1,2,3,1,79,11,53.8598314643,-1.67496969131
62,19609,428572,432995,1,1,10/01/2009,740,3,4,4,1,1,3,2,17,2,53.7922676017,-1.56622935568
63,22109,431509,432630,3,3,10/01/2009,1525,3,1,1,1,1,3,2,23,9,53.788817162,-1.52167975065
64,22109,431509,432630,3,3,10/01/2009,1525,3,1,1,1,1,3,2,25,9,53.788817162,-1.52167975065
65,22109,431509,432630,3,3,10/01/2009,1525,3,1,1,1,1,3,1,54,9,53.788817162,-1.52167975065
66,47309,429273,430090,2,1,10/01/2009,1122,3,1,1,1,2,3,2,48,9,53.7661162579,-1.55586315166
67,20209,443242,439661,1,1,11/01/2009,2332,2,2,4,1,1,3,1,20,9,53.8511718775,-1.34259040927
68,20509,431914,430363,1,2,11/01/2009,210,3,2,4,1,1,2,1,46,9,53.7684150529,-1.51576655177
69,20509,431914,430363,1,2,11/01/2009,210,3,2,4,1,2,2,2,44,9,53.7684150529,-1.51576655177
70,22609,434345,434354,2,2,11/01/2009,1335,3,1,1,1,1,3,2,24,9,53.8041341437,-1.47843769277
71,22609,434345,434354,2,2,11/01/2009,1335,3,1,1,1,2,3,2,13,9,53.8041341437,-1.47843769277
72,24409,433753,441992,2,2,11/01/2009,1840,6,2,6,1,1,3,1,20,9,53.8728277613,-1.48658827061
73,24409,433753,441992,2,2,11/01/2009,1840,6,2,6,1,2,3,1,18,9,53.8728277613,-1.48658827061
74,30009,430226,433202,1,1,11/01/2009,158,6,1,4,1,3,2,2,20,8,53.7940348187,-1.5410994287
75,23009,438099,431586,1,1,12/01/2009,735,6,2,6,1,1,3,1,20,9,53.7789923614,-1.42177486205
76,25009,432151,435283,1,1,12/01/2009,1800,4,1,4,1,3,3,1,7,9,53.8126248692,-1.51165730316
77,26909,438554,430035,2,1,12/01/2009,1915,6,1,4,1,1,3,1,23,3,53.7650175714,-1.41506361254
78,35509,425747,431487,2,1,12/01/2009,1240,6,2,1,1,1,3,1,46,20,53.7788599115,-1.60924238327
79,23309,432192,442256,2,1,13/01/2009,650,3,2,6,2,1,3,2,25,9,53.875299951,-1.51030370281
80,24709,428956,435470,2,1,13/01/2009,1550,3,1,1,1,1,2,1,20,1,53.814493506,-1.56016701359
81,25109,428470,435284,2,1,13/01/2009,2130,6,2,7,1,1,3,1,38,1,53.8128484415,-1.5675661848
82,26309,426322,428159,2,1,14/01/2009,1830,4,1,4,1,1,3,1,37,9,53.7489162771,-1.60079978564
83,27209,420436,440143,2,1,14/01/2009,712,3,4,4,1,1,3,1,38,9,53.8569029827,-1.68926995586
84,29909,428061,435959,2,1,14/01/2009,845,3,2,4,2,1,3,1,26,1,53.8189380732,-1.57371677113
85,35009,424244,428689,2,1,14/01/2009,1737,6,2,4,1,1,2,1,16,2,53.7537812033,-1.63227244532
86,37009,418301,441336,2,1,14/01/2009,1753,3,2,4,2,1,2,1,37,1,53.8677062919,-1.72166108731
87,78509,426868,437527,2,2,14/01/2009,1138,3,1,1,1,1,3,2,23,9,53.8330954518,-1.59170245984
88,78509,426868,437527,2,2,14/01/2009,1138,3,1,1,1,1,3,1,56,9,53.8330954518,-1.59170245984
89,224609,427900,439923,1,1,14/01/2009,150,6,1,4,1,1,3,1,53,9,53.8545779795,-1.57580256161
90,345809,424579,435155,2,1,14/01/2009,1300,3,1,1,1,1,3,1,43,1,53.8118873815,-1.62667580444
91,34509,431969,435825,2,1,15/01/2009,640,3,2,4,2,1,3,2,53,9,53.8175079472,-1.51436528025
92,36909,431404,435026,2,1,15/01/2009,1935,6,1,4,1,1,3,1,43,9,53.8103604319,-1.52302930144
93,37209,430459,435623,4,1,15/01/2009,740,3,2,1,2,3,3,1,16,9,53.8157828966,-1.53732254544
94,37309,427887,440270,2,1,15/01/2009,1335,6,2,1,1,1,3,1,75,1,53.8576977497,-1.57596868016
95,37409,434107,433901,2,1,15/01/2009,910,6,1,1,1,1,3,1,42,9,53.8000779516,-1.48210197022
96,42009,428344,431608,2,1,15/01/2009,1330,1,1,1,1,1,3,2,36,9,53.7798126371,-1.5698182225
97,27309,432998,436045,1,1,16/01/2009,15,3,2,4,2,1,2,1,38,5,53.8194211506,-1.49871099442
98,30409,430330,433321,2,2,16/01/2009,1404,6,1,1,1,2,3,2,25,11,53.7950984252,-1.53950880774
99,30409,430330,433321,2,2,16/01/2009,1404,6,1,1,1,2,3,2,53,11,53.7950984252,-1.53950880774
100,36509,430189,431710,1,1,16/01/2009,1338,6,1,1,1,1,3,1,21,3,53.7806257648,-1.54180730759
101,77009,424351,438774,1,1,16/01/2009,630,6,1,4,1,3,3,2,33,9,53.8444285045,-1.62985209837
102,32209,429595,434697,2,1,17/01/2009,1215,3,2,1,1,1,3,1,90,90,53.8075092472,-1.55053545767
103,33609,435121,433538,1,1,17/01/2009,1115,6,2,1,1,2,3,2,65,11,53.7967476092,-1.46674699802
104,34909,434620,441225,2,4,17/01/2009,2125,6,2,6,1,1,3,2,18,9,53.8658764324,-1.47348766115
105,34909,434620,441225,2,4,17/01/2009,2125,6,2,6,1,1,3,1,23,9,53.8658764324,-1.47348766115
106,34909,434620,441225,2,4,17/01/2009,2125,6,2,6,1,2,3,2,17,9,53.8658764324,-1.47348766115
107,34909,434620,441225,2,4,17/01/2009,2125,6,2,6,1,2,3,1,17,9,53.8658764324,-1.47348766115
108,35909,439996,437096,1,1,17/01/2009,1510,6,1,1,1,2,3,2,69,11,53.8283767059,-1.39227021237
109,37509,430324,433288,4,1,17/01/2009,133,6,1,4,1,3,3,1,19,9,53.794802147,-1.53960314924
110,39009,431864,429760,2,1,17/01/2009,1001,6,1,1,1,3,2,1,39,19,53.7629979035,-1.51658744027
111,39409,429941,425130,2,2,17/01/2009,1505,3,2,1,1,1,3,1,20,9,53.7214937773,-1.54620906115
112,39409,429941,425130,2,2,17/01/2009,1505,3,2,1,1,2,3,2,19,9,53.7214937773,-1.54620906115
113,43109,434843,436328,1,1,17/01/2009,1742,6,2,4,2,2,3,1,68,11,53.8218445304,-1.47065190582
114,47109,432711,434493,1,1,17/01/2009,1645,4,2,4,2,2,3,1,21,9,53.8054889004,-1.50323575369
115,171309,431607,435248,1,1,17/01/2009,1750,3,1,7,1,3,3,1,23,9,53.8123436189,-1.51992341154
116,35209,430530,440743,2,1,18/01/2009,1825,6,2,4,1,1,3,1,47,9,53.8618006546,-1.53573529429
117,59109,429806,433383,1,1,18/01/2009,1510,6,1,1,1,3,3,1,30,9,53.7956860096,-1.54745826589
118,39509,432733,427496,1,1,19/01/2009,817,3,2,1,2,3,3,1,12,9,53.7425935056,-1.50364423958
119,40909,436189,434322,2,2,19/01/2009,1154,6,1,1,1,1,3,2,23,9,53.8037214746,-1.45043989908
120,40909,436189,434322,2,2,19/01/2009,1154,6,1,1,1,2,3,2,84,11,53.8037214746,-1.45043989908
121,41109,436067,436616,2,1,19/01/2009,1800,6,2,4,2,1,3,1,21,9,53.824349746,-1.45202357606
122,41309,440894,433571,2,1,19/01/2009,1655,3,2,4,5,1,3,2,55,9,53.7966224837,-1.37909464085
123,42909,424910,439707,2,2,19/01/2009,902,6,2,1,2,1,3,2,37,9,53.8527884885,-1.62127951633
124,42909,424910,439707,2,2,19/01/2009,902,6,2,1,2,1,3,2,34,9,53.8527884885,-1.62127951633
125,43809,428923,429880,1,1,19/01/2009,1715,6,1,7,1,3,3,2,61,9,53.7642481641,-1.56119294375
126,44909,423734,434325,3,2,19/01/2009,750,6,2,1,2,1,3,1,53,9,53.8044659181,-1.63957401143
127,44909,423734,434325,3,2,19/01/2009,750,6,2,1,2,1,2,1,23,3,53.8044659181,-1.63957401143
128,45409,425537,432762,2,4,19/01/2009,1820,3,2,4,2,1,3,2,58,9,53.7903310099,-1.61232380201
129,45409,425537,432762,2,4,19/01/2009,1820,3,2,4,2,2,3,2,27,9,53.7903310099,-1.61232380201
130,45409,425537,432762,2,4,19/01/2009,1820,3,2,4,2,1,3,1,21,9,53.7903310099,-1.61232380201
131,45409,425537,432762,2,4,19/01/2009,1820,3,2,4,2,2,3,1,25,9,53.7903310099,-1.61232380201
132,45509,419963,446150,2,1,19/01/2009,1500,6,2,1,2,1,3,2,43,9,53.9109168546,-1.69607043362
133,47909,429932,437557,3,1,19/01/2009,1848,6,2,4,1,3,2,1,59,9,53.833197631,-1.54513922637
134,50809,428956,435471,2,2,19/01/2009,750,3,2,1,2,1,3,1,23,9,53.8145024947,-1.56016691948
135,50809,428956,435471,2,2,19/01/2009,750,3,2,1,2,1,3,1,23,11,53.8145024947,-1.56016691948
136,66109,429950,428086,1,1,19/01/2009,1029,6,2,1,3,2,3,1,65,11,53.7480642291,-1.5457862982
137,106409,436940,425890,3,1,19/01/2009,1328,1,1,1,1,2,3,1,19,9,53.7278765423,-1.44004530869
138,112209,426467,435765,1,1,19/01/2009,1730,6,1,7,9,3,3,2,27,19,53.8172778552,-1.59794772775
139,43009,436158,441823,2,2,20/01/2009,848,6,4,1,1,1,2,1,40,9,53.8711466692,-1.45002790819
140,43009,436158,441823,2,2,20/01/2009,848,6,4,1,1,1,3,2,28,9,53.8711466692,-1.45002790819
141,45609,420113,434034,2,1,20/01/2009,815,6,4,1,1,2,3,2,27,9,53.8020027877,-1.6945808128
142,46809,427551,431985,2,1,20/01/2009,800,3,1,1,1,1,3,1,39,1,53.783243987,-1.58181967096
143,50509,421990,433001,1,1,20/01/2009,630,4,4,4,8,1,3,1,34,11,53.7926413284,-1.66615252466
144,72109,428300,444735,1,1,20/01/2009,2140,3,4,6,1,1,3,1,26,9,53.8978096727,-1.56927680905
145,44009,427202,432544,1,1,21/01/2009,1030,6,1,1,1,2,3,1,45,11,53.7882870809,-1.58706744715
146,45909,431003,430540,1,1,21/01/2009,100,1,4,4,1,1,3,1,35,19,53.7700610915,-1.52957091407
147,50009,423424,437621,1,1,21/01/2009,1820,3,2,4,5,3,2,1,20,9,53.8341070816,-1.64403058745
148,58109,439119,432454,2,1,21/01/2009,715,3,1,4,1,1,3,1,43,5,53.7867187785,-1.40618516761
149,59409,441925,430291,2,1,21/01/2009,1855,6,2,7,8,1,3,2,33,9,53.7670581997,-1.36388777856
150,144609,430356,438558,3,2,21/01/2009,1425,6,1,1,1,1,3,2,31,9,53.8421706819,-1.53859725273
151,144609,430356,438558,3,2,21/01/2009,1425,6,1,1,1,1,3,1,42,9,53.8421706819,-1.53859725273
152,47409,427079,434817,1,1,22/01/2009,615,3,2,4,2,3,3,2,52,9,53.8087249939,-1.58873470654
153,52709,440893,448715,2,2,22/01/2009,1714,4,2,4,8,1,3,2,67,9,53.9327426336,-1.37709095569
154,52709,440893,448715,2,2,22/01/2009,1714,4,2,4,8,1,3,2,64,9,53.9327426336,-1.37709095569
155,58209,430637,434720,2,1,22/01/2009,2000,6,1,7,9,1,3,1,29,9,53.8076556454,-1.53470869356
156,61409,428824,435224,2,1,22/01/2009,1530,6,1,1,1,1,3,2,19,9,53.8122896139,-1.5621950338
157,80209,435518,434819,1,1,22/01/2009,1540,6,1,1,1,3,3,2,86,1,53.8082350638,-1.46057174745
158,53109,434696,434563,2,1,23/01/2009,800,3,2,1,2,1,3,2,47,9,53.8059894695,-1.47308410775
159,54309,424019,438460,2,1,23/01/2009,730,6,2,7,9,1,3,1,44,1,53.8416214935,-1.6349231127
160,57909,433428,433952,1,1,23/01/2009,1600,6,2,1,1,3,3,2,5,9,53.8005804495,-1.49240626514
161,58509,428508,442351,1,1,23/01/2009,2230,6,2,6,1,2,3,2,18,9,53.8763694013,-1.56633303031
162,58709,434063,435140,2,1,23/01/2009,722,6,2,7,1,1,3,1,50,9,53.8112177533,-1.48263296282
163,64709,432000,430452,2,2,23/01/2009,1330,3,1,1,1,1,3,1,52,9,53.7692097731,-1.5144524881
164,64709,432000,430452,2,2,23/01/2009,1330,3,1,1,1,1,3,1,59,21,53.7692097731,-1.5144524881
165,67609,426354,428164,2,1,23/01/2009,1325,4,1,1,1,1,3,1,45,1,53.7489596043,-1.60031405912
166,67809,429675,432925,3,5,23/01/2009,1435,6,1,1,1,1,3,1,26,9,53.7915766544,-1.54949127649
167,67809,429675,432925,3,5,23/01/2009,1435,6,1,1,1,1,3,1,43,9,53.7915766544,-1.54949127649
168,67809,429675,432925,3,5,23/01/2009,1435,6,1,1,1,2,3,2,43,9,53.7915766544,-1.54949127649
169,67809,429675,432925,3,5,23/01/2009,1435,6,1,1,1,1,3,1,37,9,53.7915766544,-1.54949127649
170,67809,429675,432925,3,5,23/01/2009,1435,6,1,1,1,2,3,2,29,9,53.7915766544,-1.54949127649
171,124709,430433,433982,2,1,23/01/2009,25,2,2,4,1,1,2,1,38,5,53.8010339548,-1.53787973011
172,53409,431630,434445,1,1,24/01/2009,1148,6,1,1,1,2,3,2,86,11,53.8051243097,-1.5196566009
173,57109,422663,432681,2,1,24/01/2009,1715,6,2,4,1,1,3,1,42,9,53.7897360156,-1.65595891999
174,59709,428207,426829,1,1,24/01/2009,800,3,4,1,1,1,3,2,42,9,53.7368624991,-1.57233407319
175,81009,422286,433429,1,1,24/01/2009,308,4,1,4,1,2,3,1,21,9,53.7964759675,-1.66162783769
176,94709,428502,434530,3,1,24/01/2009,1300,6,1,1,1,1,3,1,19,9,53.8060691791,-1.56714997479
177,69409,420347,440465,2,1,25/01/2009,1715,3,1,4,1,1,3,1,33,5,53.8598008695,-1.69060183131
178,56609,428458,432960,1,1,26/01/2009,1600,4,1,1,9,2,3,1,45,11,53.7919592422,-1.56796324452
179,69109,420142,446596,2,1,26/01/2009,845,6,2,1,1,1,3,2,34,9,53.9149188918,-1.69331589377
180,95009,427122,437370,2,2,26/01/2009,1510,3,1,1,1,2,3,1,4,9,53.8316710243,-1.58785653205
181,95009,427122,437370,2,2,26/01/2009,1510,3,1,1,1,2,3,1,3,9,53.8316710243,-1.58785653205
182,66909,425125,432463,1,1,27/01/2009,830,6,2,1,9,1,3,1,42,3,53.7876634061,-1.61860258285
183,68809,431076,431126,1,1,27/01/2009,925,6,2,1,1,2,3,2,25,11,53.7753241457,-1.52840424019
184,69509,428587,440798,3,4,27/01/2009,1755,6,1,6,1,1,3,2,50,9,53.8624056854,-1.56527608285
185,69509,428587,440798,3,4,27/01/2009,1755,6,1,6,1,1,2,2,42,9,53.8624056854,-1.56527608285
186,69509,428587,440798,3,4,27/01/2009,1755,6,1,6,1,1,2,1,39,9,53.8624056854,-1.56527608285
187,69509,428587,440798,3,4,27/01/2009,1755,6,1,6,1,2,3,1,1,9,53.8624056854,-1.56527608285
188,70809,421881,442830,2,2,27/01/2009,757,6,4,1,1,1,3,2,36,9,53.8809968701,-1.66710735882
189,70809,421881,442830,2,2,27/01/2009,757,6,4,1,1,1,3,1,50,9,53.8809968701,-1.66710735882
190,137209,436133,435569,2,1,27/01/2009,840,6,1,1,1,1,3,2,34,9,53.8149341314,-1.45114386434
191,69009,430689,434966,2,2,28/01/2009,1500,3,2,1,1,1,3,1,26,9,53.8098637994,-1.53389445768
192,69009,430689,434966,2,2,28/01/2009,1500,3,2,1,1,2,3,2,25,9,53.8098637994,-1.53389445768
193,70009,430113,431728,1,2,28/01/2009,1440,3,1,1,1,2,3,2,65,11,53.7807919643,-1.54295899687
194,70009,430113,431728,1,2,28/01/2009,1440,3,1,1,1,2,3,2,67,11,53.7807919643,-1.54295899687
195,70609,439643,436962,3,2,28/01/2009,1530,6,2,1,1,1,1,1,75,9,53.8271992999,-1.39765091519
196,70609,439643,436962,3,2,28/01/2009,1530,6,2,1,1,1,3,2,24,9,53.8271992999,-1.39765091519
197,71409,425479,434192,1,1,28/01/2009,1740,6,2,4,7,3,2,1,18,9,53.8031878511,-1.61308598316
198,73309,429797,433923,2,1,28/01/2009,1000,6,2,1,1,1,3,2,28,1,53.8005404406,-1.54754266299
199,88909,428678,435628,2,1,28/01/2009,1720,3,2,4,7,1,3,1,25,1,53.8159291333,-1.56437488796
200,90809,435926,435424,1,1,28/01/2009,805,3,1,1,1,3,3,2,16,9,53.8136451322,-1.45430494373
201,93909,430889,434252,3,2,28/01/2009,1209,6,2,1,1,1,3,2,54,9,53.8034340268,-1.53092861
202,93909,430889,434252,3,2,28/01/2009,1209,6,2,1,1,2,3,1,43,9,53.8034340268,-1.53092861
203,75209,428838,434630,2,1,29/01/2009,1735,6,2,4,1,1,3,1,19,1,53.8069495303,-1.56203805387
204,75509,422946,427920,4,3,29/01/2009,749,3,2,4,7,1,3,2,36,9,53.7469275012,-1.65201693616
205,75509,422946,427920,4,3,29/01/2009,749,3,2,4,7,1,3,2,46,9,53.7469275012,-1.65201693616
206,75509,422946,427920,4,3,29/01/2009,749,3,2,4,7,2,2,1,42,9,53.7469275012,-1.65201693616
207,75609,427265,427701,2,1,29/01/2009,900,4,2,1,1,1,3,2,33,9,53.7447509003,-1.58653904362
208,77809,423583,434592,2,1,29/01/2009,740,6,2,1,8,1,2,1,59,1,53.8068728033,-1.64184660303
209,78809,422078,433943,2,2,29/01/2009,1330,3,1,1,1,1,3,2,44,9,53.8011051088,-1.66474902945
210,78809,422078,433943,2,2,29/01/2009,1330,3,1,1,1,2,3,1,53,9,53.8011051088,-1.66474902945
211,80409,435821,435759,3,2,29/01/2009,2332,6,1,4,1,2,3,2,20,9,53.8166635516,-1.45586075008
212,80409,435821,435759,3,2,29/01/2009,2332,6,1,4,1,2,3,2,22,9,53.8166635516,-1.45586075008
213,80509,432061,436084,3,3,29/01/2009,821,6,2,1,1,1,3,1,45,9,53.8198303437,-1.51294078678
214,80509,432061,436084,3,3,29/01/2009,821,6,2,1,1,1,3,1,32,9,53.8198303437,-1.51294078678
215,80509,432061,436084,3,3,29/01/2009,821,6,2,1,1,1,3,2,42,9,53.8198303437,-1.51294078678
216,85909,429427,435414,1,1,29/01/2009,2241,6,2,4,4,3,2,1,44,8,53.813963693,-1.5530182581
217,76909,427495,425524,2,1,30/01/2009,1405,3,2,1,1,1,3,2,37,9,53.7251700493,-1.58324491423
218,77209,431072,430361,2,2,30/01/2009,1840,6,2,4,1,1,2,1,18,4,53.7684479925,-1.52854199793
219,77209,431072,430361,2,2,30/01/2009,1840,6,2,4,1,1,3,1,44,9,53.7684479925,-1.52854199793
220,77309,431074,431989,2,1,30/01/2009,1545,3,1,1,1,1,3,1,40,1,53.7830815447,-1.528347617
221,77409,432914,432149,2,1,30/01/2009,703,6,2,4,1,1,2,1,18,3,53.7844066378,-1.50040348527
222,78009,424889,427724,2,1,30/01/2009,1823,3,1,4,1,1,2,1,35,5,53.7450765141,-1.62256721658
223,78109,422365,440401,1,1,30/01/2009,1820,6,1,6,1,3,3,1,32,9,53.8591425608,-1.65992118962
224,79509,427608,434511,2,3,30/01/2009,2248,3,1,4,1,1,3,2,35,90,53.8059466186,-1.58072814102
225,79509,427608,434511,2,3,30/01/2009,2248,3,1,4,1,1,3,2,31,9,53.8059466186,-1.58072814102
226,79509,427608,434511,2,3,30/01/2009,2248,3,1,4,1,2,3,2,23,9,53.8059466186,-1.58072814102
227,79809,435231,434830,2,2,30/01/2009,715,3,2,4,1,1,3,2,33,9,53.8083534611,-1.46492907958
228,79809,435231,434830,2,2,30/01/2009,715,3,2,4,1,1,3,1,54,9,53.8083534611,-1.46492907958
229,80009,428546,433218,2,1,30/01/2009,2139,3,1,4,1,1,3,1,23,9,53.7942735228,-1.56660340347
230,81609,430243,424085,5,3,30/01/2009,1755,1,2,4,1,1,3,1,45,9,53.7120830116,-1.54173417142
231,81609,430243,424085,5,3,30/01/2009,1755,1,2,4,1,1,3,1,32,9,53.7120830116,-1.54173417142
232,81609,430243,424085,5,3,30/01/2009,1755,1,2,4,1,1,3,2,49,9,53.7120830116,-1.54173417142
233,89109,426281,435577,2,1,30/01/2009,1435,3,2,1,1,1,3,1,36,9,53.8155974032,-1.60078918255
234,115909,427619,436158,2,2,30/01/2009,1545,6,2,1,1,1,3,2,21,9,53.8207505039,-1.58041325916
235,115909,427619,436158,2,2,30/01/2009,1545,6,2,1,1,2,3,2,18,9,53.8207505039,-1.58041325916
236,77909,434271,433802,1,2,31/01/2009,1801,6,2,7,1,1,3,1,20,9,53.7991772976,-1.47962284094
237,77909,434271,433802,1,2,31/01/2009,1801,6,2,7,1,2,3,1,24,9,53.7991772976,-1.47962284094
238,79209,423015,437661,2,1,31/01/2009,1920,3,1,4,1,1,3,1,49,1,53.8344849123,-1.65024294675
239,89709,432172,427284,1,4,31/01/2009,344,1,2,4,1,1,3,1,27,9,53.7407228113,-1.51217284379
240,89709,432172,427284,1,4,31/01/2009,344,1,2,4,1,2,3,2,29,9,53.7407228113,-1.51217284379
